rowID,entity,entityLabel,domain,property,propertyLabel,value,roundedValue,unitLabel,sitelinks,dateModified,entityType,question,fileName,sheetName,days_since_last_modified
1,http://www.wikidata.org/entity/Q26221172,Enclosed Field with Ploughman,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,81312500,81312500,United States dollar,2,2024-10-12 15:34:49,work of art,"What is the latest known price of the Enclosed Field with Ploughman, by Vincent van Gogh, in United States dollars?",Art & Literature.xlsx,Art_price,80
2,http://www.wikidata.org/entity/Q21075801,Portrait of Frederikke Tuxen,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,27500,27500,pound sterling,0,2024-09-02 03:42:15,work of art,"What is the latest known price of the Portrait of Frederikke Tuxen, by Peder Severin Krøyer, in pound sterlings?",Art & Literature.xlsx,Art_price,120
3,http://www.wikidata.org/entity/Q111952709,Autograph suit of Sandy Powell,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,16000,16000,pound sterling,1,2023-10-19 14:01:13,work of art,"What is the latest known price of the Autograph suit of Sandy Powell, by Sandy Powell, in pound sterlings?",Art & Literature.xlsx,Art_price,439
4,http://www.wikidata.org/entity/Q3879263,Reclining nude (on the left side) (Amedeo Modigliani),Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,157159000,157159000,United States dollar,5,2024-11-11 10:09:38,work of art,"What is the latest known price of the Reclining nude (on the left side) (Amedeo Modigliani), by Amedeo Modigliani, in United States dollars?",Art & Literature.xlsx,Art_price,50
5,http://www.wikidata.org/entity/Q22987848,"Willows by Høje Taastrup village, Denmark",Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,46000,46000,Danish krone,0,2024-09-26 05:35:43,work of art,"What is the latest known price of the Willows by Høje Taastrup village, Denmark, by Laurits Andersen Ring, in Danish krones?",Art & Literature.xlsx,Art_price,96
6,http://www.wikidata.org/entity/Q23023802,Number 17A,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,200000000,200000000,United States dollar,4,2024-09-26 14:58:29,work of art,"What is the latest known price of the Number 17A, by Jackson Pollock, in United States dollars?",Art & Literature.xlsx,Art_price,96
7,http://www.wikidata.org/entity/Q115865015,Day Dream,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,23290000,23290000,United States dollar,0,2023-11-20 10:02:06,work of art,"What is the latest known price of the Day Dream, by Andrew Wyeth, in United States dollars?",Art & Literature.xlsx,Art_price,407
8,http://www.wikidata.org/entity/Q99870136,Boy and Dog in a Johnnypump,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,100000000,100000000,United States dollar,1,2025-01-01 17:49:31,work of art,"What is the latest known price of the Boy and Dog in a Johnnypump, by Jean-Michel Basquiat, in United States dollars?",Art & Literature.xlsx,Art_price,-1
9,http://www.wikidata.org/entity/Q21781576,View through a Door to Running Figures,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,2100000,2100000,Danish krone,0,2024-09-16 08:41:57,work of art,"What is the latest known price of the View through a Door to Running Figures, by Christoffer Wilhelm Eckersberg, in Danish krones?",Art & Literature.xlsx,Art_price,106
10,http://www.wikidata.org/entity/Q71732757,Prague - View from the Monastery of the Kinghts of the cross with red star,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,78487500,78487500,Czech koruna,0,2024-11-27 16:51:15,work of art,"What is the latest known price of the Prague - View from the Monastery of the Kinghts of the cross with red star, by Oskar Kokoschka, in Czech korunas?",Art & Literature.xlsx,Art_price,34
11,http://www.wikidata.org/entity/Q30084726,Aspects of Time (Santomaso),Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,240750,240750,Euro,0,2024-10-28 08:48:31,work of art,"What is the latest known price of the Aspects of Time (Santomaso), by Giuseppe Santomaso, in Euros?",Art & Literature.xlsx,Art_price,64
12,http://www.wikidata.org/entity/Q106019345,Norwegian Landscape,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,4100000,4100000,Norwegian krone,0,2023-03-25 08:15:11,work of art,"What is the latest known price of the Norwegian Landscape, by Hans Gude, in Norwegian krones?",Art & Literature.xlsx,Art_price,647
13,http://www.wikidata.org/entity/Q29460514,Marie in the garden,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,729750,729750,pound sterling,2,2024-10-26 22:19:35,work of art,"What is the latest known price of the Marie in the garden, by Peder Severin Krøyer, in pound sterlings?",Art & Literature.xlsx,Art_price,66
14,http://www.wikidata.org/entity/Q28105685,Portrait of the artist as Mars,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,104500,104500,pound sterling,0,2024-10-23 17:51:16,work of art,"What is the latest known price of the Portrait of the artist as Mars, by Gian Lorenzo Bernini, in pound sterlings?",Art & Literature.xlsx,Art_price,69
15,http://www.wikidata.org/entity/Q64307895,Red Rooves of L'Estaque,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,55320000,55320000,United States dollar,0,2024-11-24 16:19:20,work of art,"What is the latest known price of the Red Rooves of L'Estaque, by Paul Cézanne, in United States dollars?",Art & Literature.xlsx,Art_price,37
16,http://www.wikidata.org/entity/Q126203813,Les Distractions de Dagobert,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,28400000,28400000,United States dollar,1,2024-03-18 17:54:28,work of art,"What is the latest known price of the Les Distractions de Dagobert, by Leonora Carrington, in United States dollars?",Art & Literature.xlsx,Art_price,288
17,http://www.wikidata.org/entity/Q32312033,Marquis de Lafayette,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,1360000,1360000,United States dollar,1,2024-10-30 02:14:45,work of art,"What is the latest known price of the Marquis de Lafayette, by Samuel Finley Breese Morse, in United States dollars?",Art & Literature.xlsx,Art_price,62
18,http://www.wikidata.org/entity/Q100371659,Sleeping,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,23310000,23310000,Czech koruna,0,2021-02-25 22:33:48,work of art,"What is the latest known price of the Sleeping, by Toyen, in Czech korunas?",Art & Literature.xlsx,Art_price,1405
19,http://www.wikidata.org/entity/Q115067483,Madonna of the Magnificat,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,48480000,48480000,United States dollar,1,2023-11-20 09:56:29,work of art,"What is the latest known price of the Madonna of the Magnificat, by Sandro Botticelli, in United States dollars?",Art & Literature.xlsx,Art_price,407
20,http://www.wikidata.org/entity/Q115596146,Mirage,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,31200000,31200000,Czech koruna,0,2023-11-20 10:01:08,work of art,"What is the latest known price of the Mirage, by Toyen, in Czech korunas?",Art & Literature.xlsx,Art_price,407
21,http://www.wikidata.org/entity/Q38892458,Rejected,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,7500,7500,pound sterling,3,2024-11-11 15:02:33,work of art,"What is the latest known price of the Rejected, by Tom Roberts, in pound sterlings?",Art & Literature.xlsx,Art_price,50
22,http://www.wikidata.org/entity/Q113033647,Ritratto di donna orientale,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,3000,3000,Euro,0,2023-11-10 05:31:26,work of art,"What is the latest known price of the Ritratto di donna orientale, by Vincenzo Cinque, in Euros?",Art & Literature.xlsx,Art_price,417
23,http://www.wikidata.org/entity/Q8058274,Young Man at His Window,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,53030000,53030000,United States dollar,10,2024-12-01 16:13:38,work of art,"What is the latest known price of the Young Man at His Window, by Gustave Caillebotte, in United States dollars?",Art & Literature.xlsx,Art_price,30
24,http://www.wikidata.org/entity/Q109550022,Le bassin d'Argenteuil,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,27840000,27840000,United States dollar,0,2023-08-11 11:33:42,work of art,"What is the latest known price of the Le bassin d'Argenteuil, by Claude Monet, in United States dollars?",Art & Literature.xlsx,Art_price,508
25,http://www.wikidata.org/entity/Q84628758,Water Serpents II,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,183300000,183300000,United States dollar,6,2024-12-06 17:00:45,work of art,"What is the latest known price of the Water Serpents II, by Gustav Klimt, in United States dollars?",Art & Literature.xlsx,Art_price,25
26,http://www.wikidata.org/entity/Q37432121,Portrait of a woman in a red skirt,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,190000,190000,Danish krone,0,2024-11-08 13:41:16,work of art,"What is the latest known price of the Portrait of a woman in a red skirt, by Lorenz Frølich, in Danish krones?",Art & Literature.xlsx,Art_price,53
27,http://www.wikidata.org/entity/Q4668996,Abraham Lincoln: The Hoosier Youth,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,75000,75000,United States dollar,3,2024-11-17 17:00:20,work of art,"What is the latest known price of the Abraham Lincoln: The Hoosier Youth, by Paul Manship, in United States dollars?",Art & Literature.xlsx,Art_price,44
28,http://www.wikidata.org/entity/Q110112654,"""Kabyle woman from Algeria"" and ""Janissary of Sultan Mahmud II""",Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,1202500,1202500,United States dollar,5,2023-08-28 01:59:38,work of art,"What is the latest known price of the ""Kabyle woman from Algeria"" and ""Janissary of Sultan Mahmud II"", by Emile Guillemin, in United States dollars?",Art & Literature.xlsx,Art_price,491
29,http://www.wikidata.org/entity/Q63149784,Headless,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,16000,16000,Swiss franc,1,2024-11-24 11:45:30,work of art,"What is the latest known price of the Headless, by Luciano Andreani, in Swiss francs?",Art & Literature.xlsx,Art_price,37
30,http://www.wikidata.org/entity/Q26221231,Young Man with Cornflower,Art & Literature,http://www.wikidata.org/prop/direct/P2284,latest known price,46735500,46735500,United States dollar,2,2024-10-12 16:24:37,work of art,"What is the latest known price of the Young Man with Cornflower, by Vincent van Gogh, in United States dollars?",Art & Literature.xlsx,Art_price,80
