entity,entityLabel,category,property,propertyLabel,value,currencyLabel,publicationDate,artist,artistLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q99569815,Young Man Holding a Roundel,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,92200000,United States dollar,,http://www.wikidata.org/entity/Q5669,Sandro Botticelli,11,,2024-10-27T13:29:48Z
http://www.wikidata.org/entity/Q84569759,Garden,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,10229000,pound sterling,,http://www.wikidata.org/entity/Q164351,Gerhard Richter,0,,2024-10-29T20:54:18Z
http://www.wikidata.org/entity/Q106522623,Woman With a Fan,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,85300000,pound sterling,,http://www.wikidata.org/entity/Q34661,Gustav Klimt,15,,2024-03-31T07:59:41Z
http://www.wikidata.org/entity/Q107255859,Q107255859,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,4114500,pound sterling,,http://www.wikidata.org/entity/Q2704611,Ilya Mashkov,0,,2023-09-07T16:22:23Z
http://www.wikidata.org/entity/Q106548995,Circus,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,79560000,Czech koruna,,http://www.wikidata.org/entity/Q271743,Toyen,0,,2021-09-29T02:33:25Z
http://www.wikidata.org/entity/Q80317,Garçon à la pipe,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,104168000,United States dollar,,http://www.wikidata.org/entity/Q5593,Pablo Picasso,21,,2024-10-29T19:42:38Z
http://www.wikidata.org/entity/Q152849,"Nude, Green Leaves and Bust",Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,106400000,United States dollar,,http://www.wikidata.org/entity/Q5593,Pablo Picasso,16,,2024-10-27T17:29:13Z
http://www.wikidata.org/entity/Q1810165,Le Rêve,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,155000000,United States dollar,,http://www.wikidata.org/entity/Q5593,Pablo Picasso,16,,2024-05-17T09:22:15Z
http://www.wikidata.org/entity/Q3869871,When Will You Marry?,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,210000000,United States dollar,,http://www.wikidata.org/entity/Q37693,Paul Gauguin,29,,2023-08-10T13:38:49Z
http://www.wikidata.org/entity/Q4668996,Abraham Lincoln: The Hoosier Youth,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,75000,United States dollar,,http://www.wikidata.org/entity/Q3371768,Paul Manship,3,,2023-10-19T14:01:13Z
http://www.wikidata.org/entity/Q4681871,Adele Bloch-Bauer II,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,150000000,United States dollar,,http://www.wikidata.org/entity/Q34661,Gustav Klimt,13,,2024-05-10T18:17:41Z
http://www.wikidata.org/entity/Q8058274,Young Man at His Window,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,53030000,United States dollar,,http://www.wikidata.org/entity/Q295144,Gustave Caillebotte,10,,2024-11-14T18:16:29Z
http://www.wikidata.org/entity/Q16161550,Masterpiece,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,165000000,United States dollar,,http://www.wikidata.org/entity/Q151679,Roy Lichtenstein,4,,2024-10-27T17:30:18Z
http://www.wikidata.org/entity/Q17023940,Portrait of Dr. Gachet,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,100000000,United States dollar,,http://www.wikidata.org/entity/Q5582,Vincent van Gogh,1,,2024-10-09T11:32:34Z
http://www.wikidata.org/entity/Q17023940,Portrait of Dr. Gachet,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,80000000,United States dollar,,http://www.wikidata.org/entity/Q5582,Vincent van Gogh,1,,2024-10-09T11:32:34Z
http://www.wikidata.org/entity/Q17023940,Portrait of Dr. Gachet,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,82500000,United States dollar,,http://www.wikidata.org/entity/Q5582,Vincent van Gogh,1,,2024-10-09T11:32:34Z
