entity,entityLabel,category,property,propertyLabel,year,artist,artistLabel,authorString,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q2904447,Birds of South Asia. The Ripley Guide,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,2005,http://www.wikidata.org/entity/Q6224263,John C. Anderton,,3,,2024-01-27T04:38:34Z
http://www.wikidata.org/entity/Q1340196,Encyclopedia of Mathematics,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1977,,,,22,,2024-05-26T14:11:40Z
http://www.wikidata.org/entity/Q3395402,Strange Pilgrims,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,2009,http://www.wikidata.org/entity/Q5878,Gabriel García Márquez,,12,,2024-10-10T16:00:59Z
http://www.wikidata.org/entity/Q672556,Boxer Protocol,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1901,,,,28,,2024-09-29T18:23:14Z
http://www.wikidata.org/entity/Q2908470,Zhengdian,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,742,http://www.wikidata.org/entity/Q2908475,Liu Zhi,,4,,2024-05-06T03:32:06Z
http://www.wikidata.org/entity/Q2605107,The Final Programme,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1969,http://www.wikidata.org/entity/Q316138,Michael Moorcock,,4,,2024-04-21T00:13:46Z
http://www.wikidata.org/entity/Q840584,Scouting for Boys,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1908,http://www.wikidata.org/entity/Q12665,"Robert Baden-Powell, 1st Baron Baden-Powell",,31,,2024-10-14T07:09:13Z
http://www.wikidata.org/entity/Q3477688,Agron,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1969,http://www.wikidata.org/entity/Q328748,Saadia Gaon,,3,,2024-10-05T22:32:28Z
http://www.wikidata.org/entity/Q4430250,Social Psychology as a Science,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1965,http://www.wikidata.org/entity/Q116789,Boris Parygin,,9,,2023-07-19T11:50:11Z
http://www.wikidata.org/entity/Q4658479,A New Concordance of the Bible,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1977,http://www.wikidata.org/entity/Q2687402,Avraham Even-Shoshan,,2,,2023-07-15T16:45:19Z
http://www.wikidata.org/entity/Q3712230,Dizionario storico-blasonico delle famiglie nobili e notabili italiane,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1886,http://www.wikidata.org/entity/Q3766112,Giovan Battista di Crollalanza,,2,,2023-12-20T08:16:46Z
