entity,entityLabel,category,property,propertyLabel,value,author,authorLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q58692425,The Friend,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,212,http://www.wikidata.org/entity/Q7513133,Sigrid Nunez,2,,2024-11-15T20:58:22Z
http://www.wikidata.org/entity/Q51393288,System der Asteriden,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,196,http://www.wikidata.org/entity/Q72659,Franz Hermann Troschel,2,,2024-04-11T16:01:03Z
http://www.wikidata.org/entity/Q51511957,Notes sur les mollusques terrestres de la Vallée du Fleuve Bleu,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,292,http://www.wikidata.org/entity/Q2779126,Pierre Marie Heude,1,,2023-03-04T13:56:13Z
http://www.wikidata.org/entity/Q58482696,Flora Gallica : Flore de France,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,1216,http://www.wikidata.org/entity/Q58482804,Bruno de Foucault,2,,2023-11-14T13:58:43Z
http://www.wikidata.org/entity/Q58482696,Flora Gallica : Flore de France,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,1216,http://www.wikidata.org/entity/Q1506427,Société botanique de France,2,,2023-11-14T13:58:43Z
http://www.wikidata.org/entity/Q51446618,Beobachtungen über Anatomie und Entwickelung einiger wirbellosen Seethiere,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,198,http://www.wikidata.org/entity/Q108794,Wilhelm Busch,1,,2023-03-27T09:26:05Z
http://www.wikidata.org/entity/Q51501023,The mammals of India : a natural history of all the animals known to inhabit continental India,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,744,http://www.wikidata.org/entity/Q1335271,Thomas Caverhill Jerdon,1,,2024-04-25T09:02:57Z
http://www.wikidata.org/entity/Q54522772,"Centurie zoologique, ou, Choix d'animaux rares, nouveaux ou imparfaitement connus : enrichi de planches inédites, dessinées d'après nature par M. Prêtre, gravées et coloriées avec le plus grand soin",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,244,http://www.wikidata.org/entity/Q318217,René Lesson,1,,2023-02-13T06:10:12Z
http://www.wikidata.org/entity/Q51506166,"A monograph of the fresh-water polyzoa : including all the known species, both British and foreign / by George James Allman",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,188,http://www.wikidata.org/entity/Q744703,George James Allman,1,,2022-09-11T18:58:15Z
http://www.wikidata.org/entity/Q51469682,Essai d'une classification de la famille des cérambycides et matériaux pour servir à une monographie de cette famille,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,438,http://www.wikidata.org/entity/Q2037671,James Livingston Thomson,1,,2023-02-13T06:59:43Z
http://www.wikidata.org/entity/Q51418062,Q51418062,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,422,http://www.wikidata.org/entity/Q2779126,Pierre Marie Heude,1,,2023-03-15T13:06:47Z
http://www.wikidata.org/entity/Q58482696,Flora Gallica : Flore de France,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,1216,http://www.wikidata.org/entity/Q18744985,Jean-Marc Tison,2,,2023-11-14T13:58:43Z
http://www.wikidata.org/entity/Q51377531,"Refugium botanicum : or figures and descriptions from living specimens, of little known or new plants of botanical interest",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,346,http://www.wikidata.org/entity/Q62820,Heinrich Gustav Reichenbach,2,,2023-03-16T03:55:00Z
http://www.wikidata.org/entity/Q51377531,"Refugium botanicum : or figures and descriptions from living specimens, of little known or new plants of botanical interest",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,346,http://www.wikidata.org/entity/Q730330,John Gilbert Baker,2,,2023-03-16T03:55:00Z
http://www.wikidata.org/entity/Q51506282,Monograph of the shallow-water starfishes of the North Pacific coast from the Arctic Ocean to California,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,408,http://www.wikidata.org/entity/Q353120,Addison Emery Verrill,1,,2023-03-14T20:54:13Z
http://www.wikidata.org/entity/Q56366842,"Enciklopedìâ vodnogo gospodarstva, prirodokoristuvannâ, prirodovìdtvorennâ, stalogo rozvitku",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,1000,http://www.wikidata.org/entity/Q12171552,Vasyl Shevchuk,1,,2024-10-02T15:17:09Z
http://www.wikidata.org/entity/Q51393288,System der Asteriden,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,196,http://www.wikidata.org/entity/Q57992,Johannes Peter Müller,2,,2024-04-11T16:01:03Z
http://www.wikidata.org/entity/Q51393152,A monograph of the British fossil corals,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,736,http://www.wikidata.org/entity/Q505173,Henri Milne-Edwards,1,,2023-03-13T10:28:48Z
http://www.wikidata.org/entity/Q51490954,Houses and gardens by E.L. Lutyens,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,344,http://www.wikidata.org/entity/Q6504726,Lawrence Weaver,1,,2023-03-15T23:15:24Z
http://www.wikidata.org/entity/Q51380982,Das Leben unserer heimischen Lurche und Kriechtiere im Kreislaufe eines Jahres,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,240,http://www.wikidata.org/entity/Q86390,Friedrich Knauer,1,,2023-01-29T11:42:35Z
