entity,entityLabel,category,property,propertyLabel,year,author,authorLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q27544,Mao: The Unknown Story,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,2005,http://www.wikidata.org/entity/Q967307,Jon Halliday,13,,2023-02-27T04:33:48Z
http://www.wikidata.org/entity/Q13912,Where the Wild Things Are,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1963,http://www.wikidata.org/entity/Q314771,Maurice Sendak,29,,2024-11-17T19:49:29Z
http://www.wikidata.org/entity/Q721,"Life, the Universe and Everything",Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1982,http://www.wikidata.org/entity/Q42,Q42,29,,2024-02-12T06:15:44Z
http://www.wikidata.org/entity/Q31285,Thérèse Desqueyroux,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1927,http://www.wikidata.org/entity/Q81685,François Mauriac,22,,2024-11-21T09:30:53Z
http://www.wikidata.org/entity/Q27462,Les Caves du Vatican,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1914,http://www.wikidata.org/entity/Q47484,André Gide,12,,2024-05-02T15:26:03Z
http://www.wikidata.org/entity/Q27462,Les Caves du Vatican,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1922,http://www.wikidata.org/entity/Q47484,André Gide,12,,2024-05-02T15:26:03Z
http://www.wikidata.org/entity/Q27321,One Day in the Life of Ivan Denisovich,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1962,http://www.wikidata.org/entity/Q34474,Aleksandr Solzhenitsyn,35,,2024-09-26T22:29:36Z
http://www.wikidata.org/entity/Q27592,The Psychopathology of Everyday Life,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1901,http://www.wikidata.org/entity/Q9215,Sigmund Freud,15,,2024-10-08T21:46:00Z
http://www.wikidata.org/entity/Q13911,A Prayer for Owen Meany,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1989,http://www.wikidata.org/entity/Q310379,John Irving,11,,2024-11-24T13:20:00Z
http://www.wikidata.org/entity/Q29132,A Pocket Full of Rye,Art & Literature,http://www.wikidata.org/prop/direct/P577,http://www.wikidata.org/prop/direct/P577,1953,http://www.wikidata.org/entity/Q35064,Agatha Christie,28,,2024-08-25T14:10:59Z
