entity,entityLabel,category,property,propertyLabel,value,pointInTime,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q183,Germany,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,81.9,2024-01-01T00:00:00Z,391,,2024-11-27T10:37:07Z
http://www.wikidata.org/entity/Q31,Belgium,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,81.69,2022-01-01T00:00:00Z,356,,2024-11-26T19:51:04Z
http://www.wikidata.org/entity/Q33,Finland,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,81.2,2022-01-01T00:00:00Z,391,,2024-11-26T12:18:57Z
http://www.wikidata.org/entity/Q213,Czech Republic,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,79,2022-01-01T00:00:00Z,343,,2024-11-23T09:12:26Z
http://www.wikidata.org/entity/Q218,Romania,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,75,2022-01-01T00:00:00Z,335,,2024-11-24T11:40:41Z
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,59.86,2022-01-01T00:00:00Z,285,,2024-11-26T00:06:25Z
http://www.wikidata.org/entity/Q819,Laos,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,66,2021-01-01T00:00:00Z,302,,2024-11-25T03:12:25Z
http://www.wikidata.org/entity/Q16,Canada,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,83.62,2021-01-01T00:00:00Z,382,,2024-11-25T06:38:45Z
http://www.wikidata.org/entity/Q836,Myanmar,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,69.62,2021-01-01T00:00:00Z,306,,2024-11-27T16:37:45Z
http://www.wikidata.org/entity/Q837,Nepal,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,72.12,2021-01-01T00:00:00Z,314,,2024-11-23T09:07:34Z
http://www.wikidata.org/entity/Q902,Bangladesh,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,74.43,2021-01-01T00:00:00Z,330,,2024-11-23T08:59:01Z
http://www.wikidata.org/entity/Q917,Bhutan,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,71.5,2021-01-01T00:00:00Z,291,,2024-11-23T08:59:30Z
http://www.wikidata.org/entity/Q843,Pakistan,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,69.37,2021-01-01T00:00:00Z,342,,2024-11-23T09:08:31Z
http://www.wikidata.org/entity/Q854,Sri Lanka,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,77.75,2021-01-01T00:00:00Z,297,,2024-11-23T09:10:58Z
http://www.wikidata.org/entity/Q869,Thailand,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,77.41,2021-01-01T00:00:00Z,338,,2024-11-23T09:12:04Z
http://www.wikidata.org/entity/Q668,India,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,70.03,2021-01-01T00:00:00Z,387,,2024-11-23T09:03:38Z
http://www.wikidata.org/entity/Q219,Bulgaria,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,74.9,2019-01-01T00:00:00Z,353,,2024-11-24T11:40:00Z
http://www.wikidata.org/entity/Q928,Philippines,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,71.095,2018-01-01T00:00:00Z,321,,2024-11-23T09:02:02Z
http://www.wikidata.org/entity/Q801,Israel,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,82.6,2017-01-01T00:00:00Z,365,,2024-11-24T00:31:52Z
http://www.wikidata.org/entity/Q20,Norway,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,82.50976,2017-01-01T00:00:00Z,379,,2024-11-27T13:03:06Z
http://www.wikidata.org/entity/Q155,Brazil,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,75.723,2017-01-01T00:00:00Z,375,,2024-11-23T08:59:45Z
http://www.wikidata.org/entity/Q796,Iraq,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,69.862,2016-01-01T00:00:00Z,336,,2024-11-25T10:49:52Z
http://www.wikidata.org/entity/Q800,Costa Rica,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,79.831,2016-01-01T00:00:00Z,287,,2024-11-23T09:00:38Z
http://www.wikidata.org/entity/Q805,Yemen,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,64.953,2016-01-01T00:00:00Z,301,,2024-11-25T14:11:27Z
http://www.wikidata.org/entity/Q810,Jordan,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,74.329,2016-01-01T00:00:00Z,304,,2024-11-23T09:04:25Z
http://www.wikidata.org/entity/Q811,Nicaragua,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,75.404,2016-01-01T00:00:00Z,270,,2024-11-23T09:07:41Z
http://www.wikidata.org/entity/Q813,Kyrgyzstan,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,70.95122,2016-01-01T00:00:00Z,305,,2024-11-24T12:16:46Z
http://www.wikidata.org/entity/Q822,Lebanon,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,79.584,2016-01-01T00:00:00Z,318,,2024-11-23T09:05:38Z
http://www.wikidata.org/entity/Q30,United States of America,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,78.69024,2016-01-01T00:00:00Z,410,,2024-11-24T11:45:30Z
http://www.wikidata.org/entity/Q32,Luxembourg,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,82.29268,2016-01-01T00:00:00Z,327,,2024-11-26T00:37:37Z
http://www.wikidata.org/entity/Q17,Japan,Demographics,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,83.98488,2016-01-01T00:00:00Z,408,,2024-11-25T19:07:46Z
