entity,entityLabel,category,property,propertyLabel,value,currencyLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q846,Qatar,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,26555,United States dollar,280,,2024-11-25T08:02:47Z
http://www.wikidata.org/entity/Q183,Germany,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,43750,Euro,391,,2024-11-27T10:37:07Z
http://www.wikidata.org/entity/Q145,United Kingdom,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,31617,United States dollar,374,,2024-11-23T09:11:08Z
http://www.wikidata.org/entity/Q408,Australia,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,65000,Australian dollar,380,,2024-11-27T16:10:39Z
http://www.wikidata.org/entity/Q38,Italy,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,20085,United States dollar,397,,2024-11-23T09:04:06Z
http://www.wikidata.org/entity/Q664,New Zealand,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,35562,United States dollar,331,,2024-11-26T01:32:40Z
http://www.wikidata.org/entity/Q27,Ireland,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,25969,United States dollar,310,,2024-11-26T07:20:23Z
http://www.wikidata.org/entity/Q30,United States of America,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,43585,United States dollar,410,,2024-11-24T11:45:30Z
http://www.wikidata.org/entity/Q826,Maldives,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,282000,Maldivian rufiyaa,279,,2024-11-23T09:06:17Z
http://www.wikidata.org/entity/Q20,Norway,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,51489,United States dollar,379,,2024-11-27T13:03:06Z
http://www.wikidata.org/entity/Q55,Netherlands,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,44000,Euro,358,,2024-11-26T09:01:34Z
http://www.wikidata.org/entity/Q917,Bhutan,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,115787,ngultrum,291,,2024-11-23T08:59:30Z
http://www.wikidata.org/entity/Q884,South Korea,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,40861,United States dollar,339,,2024-11-26T11:07:54Z
http://www.wikidata.org/entity/Q928,Philippines,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,307190,Philippine peso,321,,2024-11-23T09:02:02Z
http://www.wikidata.org/entity/Q33,Finland,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,34615,United States dollar,391,,2024-11-26T12:18:57Z
http://www.wikidata.org/entity/Q35,Denmark,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,44360,United States dollar,358,,2024-11-27T11:18:24Z
http://www.wikidata.org/entity/Q884,South Korea,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,58008000,Korean won,339,,2024-11-26T11:07:54Z
http://www.wikidata.org/entity/Q851,Saudi Arabia,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,24980,United States dollar,334,,2024-11-23T09:10:16Z
http://www.wikidata.org/entity/Q398,Bahrain,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,24633,United States dollar,292,,2024-11-23T08:58:57Z
http://www.wikidata.org/entity/Q17,Japan,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,557655,yen,408,,2024-11-25T19:07:46Z
http://www.wikidata.org/entity/Q29,Spain,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,21959,United States dollar,381,,2024-11-26T15:21:18Z
http://www.wikidata.org/entity/Q8646,Hong Kong,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,35443,United States dollar,289,,2024-11-25T04:23:49Z
http://www.wikidata.org/entity/Q836,Myanmar,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,2037600,kyat,306,,2024-11-27T16:37:45Z
http://www.wikidata.org/entity/Q865,Taiwan,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,32762,United States dollar,300,,2024-11-26T08:26:17Z
http://www.wikidata.org/entity/Q148,People's Republic of China,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,36883,renminbi,384,,2024-11-24T16:28:08Z
http://www.wikidata.org/entity/Q32,Luxembourg,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,36084,Euro,327,,2024-11-26T00:37:37Z
http://www.wikidata.org/entity/Q16,Canada,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,70336,Canadian dollar,382,,2024-11-25T06:38:45Z
http://www.wikidata.org/entity/Q213,Czech Republic,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,34741,Czech koruna,343,,2024-11-23T09:12:26Z
http://www.wikidata.org/entity/Q334,Singapore,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,32360,United States dollar,319,,2024-11-23T09:10:35Z
http://www.wikidata.org/entity/Q215,Slovenia,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,25085,United States dollar,323,,2024-11-27T16:51:15Z
http://www.wikidata.org/entity/Q142,France,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,30364,United States dollar,393,,2024-11-26T09:18:47Z
http://www.wikidata.org/entity/Q408,Australia,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,46555,United States dollar,380,,2024-11-27T16:10:39Z
http://www.wikidata.org/entity/Q55,Netherlands,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,38584,United States dollar,358,,2024-11-26T09:01:34Z
http://www.wikidata.org/entity/Q213,Czech Republic,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,27320,Czech koruna,343,,2024-11-23T09:12:26Z
http://www.wikidata.org/entity/Q34,Sweden,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,50514,United States dollar,356,,2024-11-23T09:11:27Z
http://www.wikidata.org/entity/Q17,Japan,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,34822,United States dollar,408,,2024-11-25T19:07:46Z
http://www.wikidata.org/entity/Q869,Thailand,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,328224,baht,338,,2024-11-23T09:12:04Z
http://www.wikidata.org/entity/Q31,Belgium,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,31112,United States dollar,356,,2024-11-26T19:51:04Z
http://www.wikidata.org/entity/Q219060,State of Palestine,Demographics,http://www.wikidata.org/prop/direct/P3529,http://www.wikidata.org/prop/direct/P3529,60359,United States dollar,200,,2024-11-23T09:08:41Z
