entity,entityLabel,category,property,propertyLabel,value,roundedValue,year,sitelinks,dateCreated,dateModified,entityType
http://www.wikidata.org/entity/Q851,Saudi Arabia,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,33000000,33000000,2018,334,,2024-11-28T00:44:47Z,Country
http://www.wikidata.org/entity/Q213,Czech Republic,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,10900555,10900555,2024,343,,2024-11-23T09:12:26Z,Country
http://www.wikidata.org/entity/Q822,Lebanon,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,5261372,5261372,2021,318,,2024-12-01T10:28:46Z,Country
http://www.wikidata.org/entity/Q967,Burundi,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,13689450,13689450,2023,287,,2024-11-25T06:11:35Z,Country
http://www.wikidata.org/entity/Q869,Thailand,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,66188503,66188503,2017,338,,2024-11-23T09:12:04Z,Country
http://www.wikidata.org/entity/Q28,Hungary,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,9599744,9599744,2023,343,,2024-12-01T10:14:16Z,Country
http://www.wikidata.org/entity/Q229,Cyprus,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,1344976,1344976,2023,314,,2024-12-01T10:27:42Z,Country
http://www.wikidata.org/entity/Q1045,Somalia,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,11031386,11031386,2017,307,,2024-12-01T10:29:37Z,Country
http://www.wikidata.org/entity/Q36,Poland,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,38036118,38036118,2021,382,,2024-12-01T10:14:28Z,Country
http://www.wikidata.org/entity/Q760,Saint Lucia,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,167591,167591,2023,227,,2024-12-02T13:16:52Z,Country
http://www.wikidata.org/entity/Q183,Germany,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,84358845,84358845,2022,391,,2024-12-01T10:27:23Z,Country
http://www.wikidata.org/entity/Q1036,Uganda,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,47123531,47123531,2021,299,,2024-12-01T10:29:34Z,Country
http://www.wikidata.org/entity/Q800,Costa Rica,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,5044197,5044197,2022,287,,2024-11-23T09:00:38Z,Country
http://www.wikidata.org/entity/Q963,Botswana,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,2480244,2480244,2023,299,,2024-12-01T10:29:15Z,Country
http://www.wikidata.org/entity/Q334,Singapore,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,5866139,5866139,2021,319,,2024-12-01T10:27:56Z,Country
http://www.wikidata.org/entity/Q756617,Kingdom of Denmark,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,5930987,5930987,2020,49,,2024-11-24T17:15:56Z,Country
http://www.wikidata.org/entity/Q928,Philippines,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,109035343,109035343,2020,321,,2024-12-01T10:29:06Z,Country
http://www.wikidata.org/entity/Q921,Brunei,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,458949,458949,2023,284,,2024-11-25T23:49:39Z,Country
http://www.wikidata.org/entity/Q1032,Niger,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,21477348,21477348,2017,290,,2024-12-01T10:29:32Z,Country
http://www.wikidata.org/entity/Q712,Fiji,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,926276,926276,2018,266,,2024-12-01T10:28:16Z,Country
http://www.wikidata.org/entity/Q1025,Mauritania,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,4614974,4614974,2021,293,,2024-12-01T10:29:27Z,Country
http://www.wikidata.org/entity/Q1016,Libya,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,6678567,6678567,2018,323,,2024-12-01T10:29:23Z,Country
http://www.wikidata.org/entity/Q115,Ethiopia,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,128691692,128691692,2023,329,,2024-12-01T10:14:50Z,Country
http://www.wikidata.org/entity/Q757,Saint Vincent and the Grenadines,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,100804,100804,2023,229,,2024-12-02T13:17:54Z,Country
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,101489,101489,2023,255,,2024-11-28T18:53:58Z,Country
http://www.wikidata.org/entity/Q39,Switzerland,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,8962300,8962300,2023,370,,2024-12-01T21:10:09Z,Country
http://www.wikidata.org/entity/Q1029,Mozambique,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,29668834,29668834,2017,293,,2024-12-01T10:29:29Z,Country
http://www.wikidata.org/entity/Q77,Uruguay,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,3444263,3444263,2023,309,,2024-12-01T10:14:44Z,Country
http://www.wikidata.org/entity/Q55,Netherlands,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,17942942,17942942,2024,358,,2024-11-29T01:14:37Z,Country
http://www.wikidata.org/entity/Q750,Bolivia,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,12244159,12244159,2023,301,,2024-11-22T23:38:15Z,Country
http://www.wikidata.org/entity/Q778,The Bahamas,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,399440,399440,2023,267,,2024-11-23T08:58:53Z,Country
http://www.wikidata.org/entity/Q252,Indonesia,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,275439000,275439000,2021,352,,2024-12-01T10:27:51Z,Country
http://www.wikidata.org/entity/Q1009,Cameroon,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,28372687,28372687,2023,299,,2024-12-01T10:29:21Z,Country
http://www.wikidata.org/entity/Q232,Kazakhstan,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,20139914,20139914,2024,339,,2024-12-01T10:27:45Z,Country
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,17100715,17100715,2013,101,,2024-11-26T09:27:39Z,Country
http://www.wikidata.org/entity/Q734,Guyana,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,777859,777859,2017,276,,2024-12-01T10:28:21Z,Country
http://www.wikidata.org/entity/Q1013,Lesotho,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,2233339,2233339,2017,272,,2024-12-01T10:29:22Z,Country
http://www.wikidata.org/entity/Q833,Malaysia,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,32447385,32447385,2020,328,,2024-12-01T10:28:48Z,Country
http://www.wikidata.org/entity/Q1037,Rwanda,Demographics,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,13246394,13246394,2022,284,,2024-12-01T10:29:35Z,Country
