entity,entityLabel,category,property,propertyLabel,value,roundedValue,year,sitelinks,dateCreated,dateModified,entityType
http://www.wikidata.org/entity/Q784,Dominica,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,52152,52152,2022,254,,2024-11-23T09:01:20Z,Country
http://www.wikidata.org/entity/Q697,Nauru,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,12668,12668,2022,256,,2024-11-25T18:27:57Z,Country
http://www.wikidata.org/entity/Q17,Japan,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,115058684,115058684,2022,408,,2024-12-01T10:14:11Z,Country
http://www.wikidata.org/entity/Q43,Turkey,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,65453229,65453229,2022,412,,2024-12-02T21:51:14Z,Country
http://www.wikidata.org/entity/Q232,Kazakhstan,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,11386327,11386327,2022,339,,2024-12-01T10:27:45Z,Country
http://www.wikidata.org/entity/Q191,Estonia,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,938914,938914,2022,345,,2024-12-01T10:27:27Z,Country
http://www.wikidata.org/entity/Q695,Palau,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,14797,14797,2022,248,,2024-11-26T17:04:21Z,Country
http://www.wikidata.org/entity/Q833,Malaysia,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,22379800,22379800,2020,328,,2024-12-01T10:28:48Z,Country
http://www.wikidata.org/entity/Q794,Iran,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,68013036,68013036,2022,362,,2024-12-01T10:28:37Z,Country
http://www.wikidata.org/entity/Q800,Costa Rica,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,4250456,4250456,2022,287,,2024-11-23T09:00:38Z,Country
http://www.wikidata.org/entity/Q889,Afghanistan,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,10946834,10946834,2022,349,,2024-12-01T10:28:58Z,Country
http://www.wikidata.org/entity/Q769,Grenada,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,46246,46246,2022,242,,2024-11-23T09:02:45Z,Country
http://www.wikidata.org/entity/Q424,Cambodia,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,6135194,6135194,2019,313,,2024-12-01T10:28:06Z,Country
http://www.wikidata.org/entity/Q711,Mongolia,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,2342494,2342494,2022,310,,2024-11-25T02:17:35Z,Country
http://www.wikidata.org/entity/Q774,Guatemala,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,9141704,9141704,2022,275,,2024-11-23T09:02:57Z,Country
http://www.wikidata.org/entity/Q851,Saudi Arabia,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,30848829,30848829,2022,334,,2024-11-28T00:44:47Z,Country
http://www.wikidata.org/entity/Q183,Germany,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,65067459,65067459,2022,391,,2024-12-01T10:27:23Z,Country
http://www.wikidata.org/entity/Q189,Iceland,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,359052,359052,2022,341,,2024-12-01T10:27:26Z,Country
http://www.wikidata.org/entity/Q733,Paraguay,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,4259528,4259528,2022,300,,2024-12-01T10:28:19Z,Country
http://www.wikidata.org/entity/Q142,France,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,55402736,55402736,2022,393,,2024-11-26T09:18:47Z,Country
http://www.wikidata.org/entity/Q712,Fiji,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,541393,541393,2022,266,,2024-12-01T10:28:16Z,Country
http://www.wikidata.org/entity/Q115,Ethiopia,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,27959125,27959125,2022,329,,2024-12-01T10:14:50Z,Country
http://www.wikidata.org/entity/Q881,Vietnam,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,36564680,36564680,2021,355,,2024-12-01T13:44:11Z,Country
http://www.wikidata.org/entity/Q664,New Zealand,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,4446028,4446028,2022,331,,2024-12-01T10:28:09Z,Country
http://www.wikidata.org/entity/Q77,Uruguay,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,3275203,3275203,2022,309,,2024-12-01T10:14:44Z,Country
http://www.wikidata.org/entity/Q408,Australia,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,22499333,22499333,2022,380,,2024-12-01T10:28:01Z,Country
http://www.wikidata.org/entity/Q228,Andorra,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,70094,70094,2022,319,,2024-11-23T12:44:38Z,Country
http://www.wikidata.org/entity/Q869,Thailand,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,37919842,37919842,2022,338,,2024-11-23T09:12:04Z,Country
http://www.wikidata.org/entity/Q241,Cuba,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,8678348,8678348,2022,323,,2024-12-01T10:27:49Z,Country
http://www.wikidata.org/entity/Q792,El Salvador,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,4737530,4737530,2022,276,,2024-12-01T10:28:36Z,Country
http://www.wikidata.org/entity/Q796,Iraq,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,31749763,31749763,2022,336,,2024-12-01T10:28:39Z,Country
http://www.wikidata.org/entity/Q843,Pakistan,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,75670837,75670837,2017,342,,2024-12-01T10:28:51Z,Country
http://www.wikidata.org/entity/Q28,Hungary,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,6996224,6996224,2022,343,,2024-12-01T10:14:16Z,Country
http://www.wikidata.org/entity/Q184,Belarus,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,7412540,7412540,2022,347,,2024-11-23T08:59:10Z,Country
http://www.wikidata.org/entity/Q34,Sweden,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,9280104,9280104,2022,356,,2024-12-01T10:14:26Z,Country
http://www.wikidata.org/entity/Q31,Belgium,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,11469977,11469977,2022,356,,2024-12-02T05:04:09Z,Country
http://www.wikidata.org/entity/Q734,Guyana,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,218534,218534,2022,276,,2024-12-01T10:28:21Z,Country
http://www.wikidata.org/entity/Q399,Armenia,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,1767628,1767628,2022,339,,2024-12-01T10:27:58Z,Country
http://www.wikidata.org/entity/Q842,Oman,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,4015701,4015701,2022,285,,2024-11-23T09:08:24Z,Country
http://www.wikidata.org/entity/Q702,Federated States of Micronesia,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,26505,26505,2022,217,,2024-12-02T08:09:11Z,Country
http://www.wikidata.org/entity/Q763,Saint Kitts and Nevis,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,14769,14769,2022,231,,2024-11-23T09:09:49Z,Country
http://www.wikidata.org/entity/Q822,Lebanon,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,4900251,4900251,2022,318,,2024-12-01T10:28:46Z,Country
http://www.wikidata.org/entity/Q811,Nicaragua,Demographics,http://www.wikidata.org/prop/direct/P6343,http://www.wikidata.org/prop/direct/P6343,4138184,4138184,2022,270,,2024-12-01T10:28:44Z,Country
