entity,entityLabel,category,property,propertyLabel,value,currencyLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q204057,Philadelphia,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,206700000,United States dollar,53,,2024-11-20T17:31:18Z
http://www.wikidata.org/entity/Q193835,Good Will Hunting,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,225900000,United States dollar,66,,2024-11-14T10:25:08Z
http://www.wikidata.org/entity/Q106571,From Russia with Love,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,78900000,United States dollar,63,,2024-11-14T11:28:40Z
http://www.wikidata.org/entity/Q246228,Confessions of a Teenage Drama Queen,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,33251890,United States dollar,29,,2024-11-11T14:04:21Z
http://www.wikidata.org/entity/Q207659,Space Jam,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,230400000,United States dollar,57,,2024-11-19T06:23:22Z
http://www.wikidata.org/entity/Q58439,Teenage Mutant Ninja Turtles,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,202084756,United States dollar,36,,2024-12-07T13:50:15Z
http://www.wikidata.org/entity/Q206497,The Blind Side,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,975200000,United States dollar,48,,2024-10-30T09:39:57Z
http://www.wikidata.org/entity/Q205028,Iron Man 2,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,623933331,United States dollar,73,,2024-11-24T03:05:39Z
http://www.wikidata.org/entity/Q212689,I Am Legend,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,585349010,United States dollar,62,,2024-11-19T09:23:03Z
http://www.wikidata.org/entity/Q595,The Intouchables,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,426588510,United States dollar,61,,2024-11-15T08:51:02Z
http://www.wikidata.org/entity/Q192212,Cars 2,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,559852396,United States dollar,60,,2024-11-10T15:41:21Z
http://www.wikidata.org/entity/Q217182,Edward Scissorhands,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,86024005,United States dollar,57,,2024-11-14T13:03:24Z
http://www.wikidata.org/entity/Q239296,Eragon,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,249500000,United States dollar,46,,2024-10-29T21:58:51Z
http://www.wikidata.org/entity/Q223139,North by Northwest,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,9840000,United States dollar,57,,2024-11-26T13:48:39Z
http://www.wikidata.org/entity/Q150804,The Pianist,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,120072577,United States dollar,71,,2024-11-18T11:15:34Z
http://www.wikidata.org/entity/Q222041,Hairspray,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,202500000,United States dollar,43,,2024-11-14T10:31:10Z
http://www.wikidata.org/entity/Q11618,Eraserhead,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,7097971,United States dollar,47,,2024-12-03T09:57:20Z
http://www.wikidata.org/entity/Q261759,Real Steel,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,299268508,United States dollar,39,,2024-11-26T17:15:46Z
http://www.wikidata.org/entity/Q212792,Bolt,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,309979994,United States dollar,69,,2024-11-03T22:21:33Z
http://www.wikidata.org/entity/Q180098,Ben-Hur,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,164000000,United States dollar,75,,2024-11-18T02:54:07Z
http://www.wikidata.org/entity/Q155476,The Fast and the Furious,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,207517509,United States dollar,62,,2024-11-16T21:19:55Z
http://www.wikidata.org/entity/Q187266,Toy Story 2,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,497400000,United States dollar,84,,2024-12-08T06:10:05Z
http://www.wikidata.org/entity/Q191100,Transformers: Revenge of the Fallen,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,836303693,United States dollar,57,,2024-12-05T02:27:52Z
http://www.wikidata.org/entity/Q148330,Zatōichi,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,34196922,United States dollar,23,,2024-11-15T09:16:52Z
http://www.wikidata.org/entity/Q207921,Chariots of Fire,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,59303359,United States dollar,56,,2024-11-15T14:16:16Z
http://www.wikidata.org/entity/Q190050,Fight Club,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,101209702,United States dollar,99,,2024-11-21T12:22:37Z
http://www.wikidata.org/entity/Q127367,The Lord of the Rings: The Fellowship of the Ring,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,888159923,United States dollar,93,,2024-12-08T14:57:11Z
