entity,entityLabel,category,property,propertyLabel,value,currencyLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q126800,Happy Feet,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,100000000,United States dollar,56,,2024-11-17T20:16:45Z
http://www.wikidata.org/entity/Q11618,Eraserhead,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,100000,United States dollar,47,,2024-11-10T13:38:37Z
http://www.wikidata.org/entity/Q209170,Mary Pippins,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,6000000,United States dollar,65,,2024-11-28T17:29:10Z
http://www.wikidata.org/entity/Q58439,Teenage Mutant Ninja Turtles,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,13500000,United States dollar,36,,2024-11-10T16:06:38Z
http://www.wikidata.org/entity/Q155476,The Fast and the Furious,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,38000000,United States dollar,62,,2024-11-16T21:19:55Z
http://www.wikidata.org/entity/Q118713,Freaky Friday,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,20000000,United States dollar,38,,2024-11-14T09:55:33Z
http://www.wikidata.org/entity/Q47296,Family Plot,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,4500000,United States dollar,33,,2024-10-31T00:16:06Z
http://www.wikidata.org/entity/Q246228,Confessions of a Teenage Drama Queen,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,15000000,United States dollar,29,,2024-11-11T14:04:21Z
http://www.wikidata.org/entity/Q172271,Maleficent,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,180000000,United States dollar,61,,2024-11-19T12:37:13Z
http://www.wikidata.org/entity/Q50714,Stagecoach,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,531300,United States dollar,48,,2024-11-24T08:27:34Z
http://www.wikidata.org/entity/Q212792,Bolt,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,150000000,United States dollar,69,,2024-11-03T22:21:33Z
http://www.wikidata.org/entity/Q200572,"I, Robot",Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,120000000,United States dollar,58,,2024-11-14T11:00:21Z
http://www.wikidata.org/entity/Q222018,Total Recall,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,65000000,United States dollar,52,,2024-11-15T13:07:28Z
http://www.wikidata.org/entity/Q139927,Zack and Miri Make a Porno,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,24000000,Argentine convertible peso,29,,2024-11-15T09:18:48Z
http://www.wikidata.org/entity/Q114076,A Knight's Tale,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,65000000,United States dollar,46,,2024-11-18T09:57:12Z
http://www.wikidata.org/entity/Q157973,The Wave,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,5000000,Euro,36,,2024-11-02T14:36:16Z
http://www.wikidata.org/entity/Q192686,Prometheus,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,130000000,United States dollar,62,,2024-11-08T12:31:30Z
http://www.wikidata.org/entity/Q40115,Chasing Amy,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,250000,United States dollar,35,,2024-11-08T19:04:18Z
http://www.wikidata.org/entity/Q187266,Toy Story 2,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,90000000,United States dollar,84,,2024-11-19T11:40:47Z
http://www.wikidata.org/entity/Q246283,Frozen,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,150000000,United States dollar,107,,2024-11-26T13:09:27Z
http://www.wikidata.org/entity/Q180098,Ben-Hur,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,15000000,United States dollar,75,,2024-11-18T02:54:07Z
http://www.wikidata.org/entity/Q206124,Midnight in Paris,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,17000000,United States dollar,63,,2024-11-18T13:13:57Z
http://www.wikidata.org/entity/Q206388,Once Upon a Time in America,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,30000000,United States dollar,61,,2024-11-21T16:06:11Z
http://www.wikidata.org/entity/Q201819,District 9,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,30000000,United States dollar,55,,2024-11-17T16:32:03Z
http://www.wikidata.org/entity/Q186587,Troy,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,175000000,United States dollar,74,,2024-11-15T12:51:11Z
http://www.wikidata.org/entity/Q133654,The Silence of the Lambs,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,19000000,United States dollar,97,,2024-11-13T13:37:27Z
http://www.wikidata.org/entity/Q309366,National Treasure,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,100000000,United States dollar,42,,2024-11-13T13:29:14Z
http://www.wikidata.org/entity/Q139460,Ghost World,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,7000000,United States dollar,32,,2024-11-24T10:30:28Z
http://www.wikidata.org/entity/Q189505,Jaws,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,9000000,United States dollar,69,,2024-11-20T06:22:07Z
http://www.wikidata.org/entity/Q213999,21,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,35000000,United States dollar,38,,2024-11-15T12:45:56Z
http://www.wikidata.org/entity/Q203388,One Eight Seven,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,20000000,United States dollar,21,,2024-10-30T18:57:17Z
http://www.wikidata.org/entity/Q108543,Alien 3,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,50000000,United States dollar,51,,2024-10-29T20:25:30Z
http://www.wikidata.org/entity/Q127897,Jersey Girl,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,35000000,United States dollar,31,,2024-11-19T08:33:05Z
http://www.wikidata.org/entity/Q178211,The Girl Who Had Everything,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,665000,United States dollar,15,,2024-11-15T10:41:55Z
http://www.wikidata.org/entity/Q94478,Tear This Heart Out,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,6500000,United States dollar,12,,2024-10-17T09:23:50Z
http://www.wikidata.org/entity/Q221345,Batman Forever,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,100000000,United States dollar,54,,2024-11-13T11:32:48Z
http://www.wikidata.org/entity/Q211372,On the Waterfront,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,910000,United States dollar,58,,2024-11-26T13:15:00Z
http://www.wikidata.org/entity/Q192212,Cars 2,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,200000000,United States dollar,60,,2024-11-10T15:41:21Z
http://www.wikidata.org/entity/Q151884,Tideland,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,12000000,United States dollar,19,,2024-11-13T13:27:56Z
http://www.wikidata.org/entity/Q272599,All Quiet on the Western Front,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,1200000,United States dollar,59,,2024-11-19T09:02:22Z
http://www.wikidata.org/entity/Q205028,Iron Man 2,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,200000000,United States dollar,73,,2024-11-24T03:05:39Z
http://www.wikidata.org/entity/Q45384,Carrie,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,30000000,United States dollar,35,,2024-10-30T10:13:32Z
http://www.wikidata.org/entity/Q595,The Intouchables,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,11500000,United States dollar,61,,2024-11-15T08:51:02Z
http://www.wikidata.org/entity/Q2345,12 Angry Men,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,340000,United States dollar,72,,2024-11-26T13:59:37Z
http://www.wikidata.org/entity/Q263460,The Dead Pool,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,31000000,United States dollar,37,,2024-10-31T18:44:23Z
http://www.wikidata.org/entity/Q193835,Good Will Hunting,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,10000000,United States dollar,66,,2024-11-14T10:25:08Z
http://www.wikidata.org/entity/Q41483,"The Good, the Bad and the Ugly",Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,1200000,United States dollar,88,,2024-11-14T15:41:04Z
http://www.wikidata.org/entity/Q211954,Love Me No More,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,8800000,Euro,11,,2024-11-15T13:55:46Z
http://www.wikidata.org/entity/Q162277,Alexander,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,155000000,United States dollar,59,,2024-11-06T09:54:12Z
http://www.wikidata.org/entity/Q213012,Open Season,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,85000000,United States dollar,58,,2024-11-26T13:33:08Z
http://www.wikidata.org/entity/Q207659,Space Jam,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,80000000,United States dollar,57,,2024-11-19T06:23:22Z
http://www.wikidata.org/entity/Q200804,Predator,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,15000000,United States dollar,64,,2024-11-24T13:57:03Z
http://www.wikidata.org/entity/Q20456,Dances with Wolves,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,22000000,United States dollar,65,,2024-11-24T12:59:30Z
http://www.wikidata.org/entity/Q224004,Topaz,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,4000000,United States dollar,45,,2024-11-01T07:21:13Z
http://www.wikidata.org/entity/Q175038,12 Monkeys,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,29500000,United States dollar,60,,2024-11-15T12:44:59Z
http://www.wikidata.org/entity/Q207921,Chariots of Fire,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,5500000,United States dollar,56,,2024-11-15T14:16:16Z
http://www.wikidata.org/entity/Q104814,Aliens,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,18500000,United States dollar,67,,2024-11-29T18:45:17Z
http://www.wikidata.org/entity/Q127367,The Lord of the Rings: The Fellowship of the Ring,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,93000000,United States dollar,93,,2024-11-28T17:23:10Z
http://www.wikidata.org/entity/Q223374,The Notebook,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,30000000,United States dollar,57,,2024-11-18T03:48:34Z
http://www.wikidata.org/entity/Q181086,A Clockwork Orange,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,2200000,United States dollar,69,,2024-11-15T12:38:33Z
http://www.wikidata.org/entity/Q150804,The Pianist,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,35000000,United States dollar,71,,2024-11-18T11:15:34Z
http://www.wikidata.org/entity/Q270215,Contact,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,90000000,United States dollar,56,,2024-10-30T10:36:15Z
http://www.wikidata.org/entity/Q196685,Escape Plan,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,50000000,United States dollar,42,,2024-11-21T12:38:38Z
http://www.wikidata.org/entity/Q188439,Tangled,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,260000000,United States dollar,89,,2024-11-26T13:22:21Z
http://www.wikidata.org/entity/Q190050,Fight Club,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,63000000,United States dollar,99,,2024-11-21T12:22:37Z
http://www.wikidata.org/entity/Q22432,Signs,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,72000000,United States dollar,45,,2024-11-18T08:17:57Z
http://www.wikidata.org/entity/Q300393,A Dirty Shame,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,15000000,United States dollar,16,,2024-11-12T12:28:31Z
http://www.wikidata.org/entity/Q244333,Percy Jackson & the Olympians: The Lightning Thief,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,95000000,United States dollar,42,,2024-11-18T11:26:40Z
http://www.wikidata.org/entity/Q276407,The Phantom of the Opera,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,70000000,United States dollar,36,,2024-11-25T14:18:14Z
http://www.wikidata.org/entity/Q106571,From Russia with Love,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,2000000,United States dollar,63,,2024-11-14T11:28:40Z
http://www.wikidata.org/entity/Q217182,Edward Scissorhands,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,20000000,United States dollar,57,,2024-11-14T13:03:24Z
http://www.wikidata.org/entity/Q191100,Transformers: Revenge of the Fallen,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,200000000,United States dollar,57,,2024-11-15T13:01:10Z
http://www.wikidata.org/entity/Q224133,30 Minutes or Less,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,28000000,United States dollar,27,,2024-11-12T12:40:41Z
http://www.wikidata.org/entity/Q280962,Who's Singin' Over There?,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,180000,Deutsche Mark,18,,2024-10-18T09:15:23Z
http://www.wikidata.org/entity/Q109116,The Great Dictator,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,2000000,United States dollar,78,,2024-11-14T10:25:25Z
http://www.wikidata.org/entity/Q24871,Avatar,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,237000000,United States dollar,121,,2024-11-25T04:38:11Z
http://www.wikidata.org/entity/Q223139,North by Northwest,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,4300000,United States dollar,57,,2024-11-26T13:48:39Z
http://www.wikidata.org/entity/Q484442,Spider-Man,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,139000000,United States dollar,79,,2024-11-19T12:30:08Z
http://www.wikidata.org/entity/Q650076,Aliens vs. Predator: Requiem,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,40000000,United States dollar,35,,2024-11-25T14:44:51Z
http://www.wikidata.org/entity/Q409064,The Concorde ... Airport '79,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,14000000,United States dollar,19,,2024-11-22T14:19:20Z
http://www.wikidata.org/entity/Q512070,The Banishment,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,320000,United States dollar,20,,2024-11-13T13:29:53Z
http://www.wikidata.org/entity/Q967489,Butterfly on a Wheel,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,20000000,United States dollar,17,,2024-11-18T07:39:11Z
http://www.wikidata.org/entity/Q783365,THX 1138,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,777777,United States dollar,33,,2024-11-13T13:27:16Z
http://www.wikidata.org/entity/Q820753,School of Rock,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,35000000,United States dollar,46,,2024-11-19T13:10:08Z
http://www.wikidata.org/entity/Q698949,Sink the Bismarck!,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,1330000,United States dollar,19,,2024-11-22T14:20:00Z
http://www.wikidata.org/entity/Q579928,The SpongeBob SquarePants Movie,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,30000000,United States dollar,52,,2024-11-18T07:32:29Z
http://www.wikidata.org/entity/Q407184,Air Force One,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,85000000,United States dollar,44,,2024-11-21T13:55:11Z
