entity,entityLabel,category,property,propertyLabel,value,genre,genreLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q751059,Jeremiah,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,35,http://www.wikidata.org/entity/Q336059,science fiction television program,9,,2024-06-11T02:03:41Z
http://www.wikidata.org/entity/Q711227,Supercar,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,39,http://www.wikidata.org/entity/Q336059,science fiction television program,7,,2024-03-26T11:58:36Z
http://www.wikidata.org/entity/Q559270,The Twilight Zone,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,110,http://www.wikidata.org/entity/Q336059,science fiction television program,14,,2024-11-10T06:38:01Z
http://www.wikidata.org/entity/Q639740,Pioneer One,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,6,http://www.wikidata.org/entity/Q336059,science fiction television program,9,,2024-08-09T20:02:11Z
http://www.wikidata.org/entity/Q697388,Tru Calling,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,26,http://www.wikidata.org/entity/Q336059,science fiction television program,23,,2024-04-16T11:57:34Z
http://www.wikidata.org/entity/Q847978,Dennou Keisatsu Cybercop,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,36,http://www.wikidata.org/entity/Q336059,science fiction television program,5,,2024-08-06T17:22:45Z
http://www.wikidata.org/entity/Q692514,Defying Gravity,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,13,http://www.wikidata.org/entity/Q336059,science fiction television program,10,,2024-04-30T05:03:38Z
http://www.wikidata.org/entity/Q864635,Bionic Woman,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,8,http://www.wikidata.org/entity/Q336059,science fiction television program,13,,2024-11-09T18:43:31Z
http://www.wikidata.org/entity/Q862066,Phil of the Future,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,43,http://www.wikidata.org/entity/Q336059,science fiction television program,24,,2024-03-26T11:41:17Z
http://www.wikidata.org/entity/Q714753,The Prisoner,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,17,http://www.wikidata.org/entity/Q336059,science fiction television program,25,,2024-12-09T09:15:15Z
http://www.wikidata.org/entity/Q560416,Power Rangers Megaforce,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,40,http://www.wikidata.org/entity/Q336059,science fiction television program,20,,2024-11-08T13:41:16Z
http://www.wikidata.org/entity/Q584745,Day Break,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,13,http://www.wikidata.org/entity/Q336059,science fiction television program,14,,2024-04-16T10:43:51Z
http://www.wikidata.org/entity/Q729036,Widget,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,65,http://www.wikidata.org/entity/Q336059,science fiction television program,10,,2024-11-15T23:38:55Z
http://www.wikidata.org/entity/Q716896,The Secret Adventures of Jules Verne,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,22,http://www.wikidata.org/entity/Q336059,science fiction television program,3,,2024-03-26T12:05:56Z
http://www.wikidata.org/entity/Q606892,A come Andromeda,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,5,http://www.wikidata.org/entity/Q336059,science fiction television program,4,,2024-10-16T03:43:21Z
http://www.wikidata.org/entity/Q589187,Sliders,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,88,http://www.wikidata.org/entity/Q336059,science fiction television program,24,,2024-04-30T03:54:09Z
http://www.wikidata.org/entity/Q867935,Cleopatra 2525,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,28,http://www.wikidata.org/entity/Q336059,science fiction television program,7,,2024-06-13T03:29:46Z
http://www.wikidata.org/entity/Q769252,The Others,Entertainment,http://www.wikidata.org/prop/direct/P1113,http://www.wikidata.org/prop/direct/P1113,13,http://www.wikidata.org/entity/Q336059,science fiction television program,5,,2024-04-16T12:15:14Z
