entity,entityLabel,category,property,propertyLabel,value,unit,sitelinks,timestamp,dateCreated,dateModified
http://www.wikidata.org/entity/Q10014,Kampen,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,52398,,54,2016-01-01T00:00:00Z,,2024-10-04T09:27:46Z
http://www.wikidata.org/entity/Q10045,IJsselstein,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,33819,,40,2021-01-01T00:00:00Z,,2024-09-17T12:06:04Z
http://www.wikidata.org/entity/Q2449,Mogadishu,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,2120000,,164,2015-01-01T00:00:00Z,,2024-11-20T21:57:35Z
http://www.wikidata.org/entity/Q3037,Kathmandu,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,845767,,190,2021-01-01T00:00:00Z,,2024-11-29T06:01:33Z
http://www.wikidata.org/entity/Q3929,Port Louis,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,149194,,151,2012-01-01T00:00:00Z,,2024-11-29T16:32:02Z
http://www.wikidata.org/entity/Q4044,Offenburg,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,62195,,63,2023-12-31T00:00:00Z,,2024-11-28T10:49:30Z
http://www.wikidata.org/entity/Q4051,Friedrichshafen,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,63441,,75,2023-12-31T00:00:00Z,,2024-11-30T18:40:23Z
http://www.wikidata.org/entity/Q15639,Sant Feliu de Llobregat,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,46056,,50,2023-01-01T00:00:00Z,,2024-10-29T12:10:29Z
http://www.wikidata.org/entity/Q70,Bern,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,134506,,201,2022-12-31T00:00:00Z,,2024-11-29T12:42:07Z
http://www.wikidata.org/entity/Q174,São Paulo,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,11451999,,249,2022-01-01T00:00:00Z,,2024-12-01T09:55:21Z
http://www.wikidata.org/entity/Q207371,Lichfield,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,32580,,63,2021-01-01T00:00:00Z,,2024-10-31T17:28:05Z
http://www.wikidata.org/entity/Q207749,Thane,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,1886941,,74,2011-01-01T00:00:00Z,,2024-09-25T20:36:37Z
http://www.wikidata.org/entity/Q207752,Shillong,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,143229,,82,2011-01-01T00:00:00Z,,2024-10-12T01:27:28Z
http://www.wikidata.org/entity/Q3889,Maputo,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,1133200,,161,2023-07-01T00:00:00Z,,2024-11-25T07:58:05Z
http://www.wikidata.org/entity/Q3892,Curanilahue,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,32288,,24,2017-01-01T00:00:00Z,,2024-09-06T09:00:18Z
http://www.wikidata.org/entity/Q6226,St Albans,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,82146,,61,2011-01-01T00:00:00Z,,2024-11-21T16:09:10Z
http://www.wikidata.org/entity/Q7039,Lahr/Schwarzwald,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,49420,,49,2023-12-31T00:00:00Z,,2024-11-17T15:16:36Z
http://www.wikidata.org/entity/Q10690,Cardiff,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,361469,,155,2016-01-01T00:00:00Z,,2024-11-28T10:54:49Z
http://www.wikidata.org/entity/Q10743,Böhlen,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,6931,,37,2023-12-31T00:00:00Z,,2024-11-19T18:00:17Z
http://www.wikidata.org/entity/Q16258,Maldonado,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,86782,,51,2011-01-01T00:00:00Z,,2024-11-27T01:26:22Z
http://www.wikidata.org/entity/Q16520,Busan,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,3453198,,133,2018-07-01T00:00:00Z,,2024-11-19T22:33:27Z
http://www.wikidata.org/entity/Q18021,Biella,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,42619,,85,2023-01-01T00:00:00Z,,2024-11-29T04:17:19Z
http://www.wikidata.org/entity/Q18569,Douglas,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,27938,,92,2011-01-01T00:00:00Z,,2024-11-11T06:52:01Z
http://www.wikidata.org/entity/Q18709,Patos,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,15397,,34,2011-01-01T00:00:00Z,,2024-10-01T07:46:28Z
http://www.wikidata.org/entity/Q18730,Cërrik,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,6695,,37,2011-01-01T00:00:00Z,,2024-11-11T04:38:25Z
