entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q43,Turkey,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,783562,square kilometre,411,,2024-11-24T11:41:36Z
http://www.wikidata.org/entity/Q159,Russia,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,17075400,square kilometre,406,,2024-11-24T11:46:21Z
http://www.wikidata.org/entity/Q33,Finland,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,338478.34,square kilometre,391,,2024-11-23T09:02:08Z
http://www.wikidata.org/entity/Q183,Germany,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,357587.77,square kilometre,391,,2024-11-24T09:48:55Z
http://www.wikidata.org/entity/Q408,Australia,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,7692024,square kilometre,380,,2024-11-24T08:33:19Z
http://www.wikidata.org/entity/Q20,Norway,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,385207,square kilometre,379,,2024-11-23T09:08:15Z
http://www.wikidata.org/entity/Q55,Netherlands,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,37378,square kilometre,359,,2024-11-23T09:07:29Z
http://www.wikidata.org/entity/Q31,Belgium,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,30688,square kilometre,356,,2024-11-23T08:59:15Z
http://www.wikidata.org/entity/Q34,Sweden,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,447425.16,square kilometre,356,,2024-11-23T09:11:27Z
http://www.wikidata.org/entity/Q184,Belarus,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,207595,square kilometre,347,,2024-11-23T08:59:10Z
http://www.wikidata.org/entity/Q191,Estonia,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,45335,square kilometre,345,,2024-11-23T09:01:43Z
http://www.wikidata.org/entity/Q28,Hungary,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,93011.4,square kilometre,343,,2024-11-23T09:13:11Z
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,51197,square kilometre,327,,2024-11-23T08:59:34Z
http://www.wikidata.org/entity/Q211,Latvia,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,62226.92,square kilometre,325,,2024-11-23T09:05:30Z
http://www.wikidata.org/entity/Q211,Latvia,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,64593.76,square kilometre,325,,2024-11-23T09:05:30Z
http://www.wikidata.org/entity/Q1028,Morocco,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,446550,square kilometre,317,,2024-11-23T09:06:31Z
http://www.wikidata.org/entity/Q711,Mongolia,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,1564116,square kilometre,310,,2024-11-23T09:07:01Z
http://www.wikidata.org/entity/Q805,Yemen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,555000,square kilometre,300,,2024-11-23T09:04:18Z
http://www.wikidata.org/entity/Q958,South Sudan,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,644329,square kilometre,267,,2024-11-23T09:11:46Z
