entity,entityLabel,category,property,propertyLabel,value,unit,sitelinks,dateCreated,dateModified,timestamp,continentLabel
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,101489,,255,,2024-11-28T18:53:58Z,2023-01-01T00:00:00Z,North America
http://www.wikidata.org/entity/Q784,Dominica,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,74656,,254,,2024-11-23T09:01:20Z,2023-01-01T00:00:00Z,North America
http://www.wikidata.org/entity/Q800,Costa Rica,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,5044197,,287,,2024-11-23T09:00:38Z,2022-01-01T00:00:00Z,North America
http://www.wikidata.org/entity/Q842,Oman,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,4829480,,285,,2024-11-23T09:08:24Z,2018-01-01T00:00:00Z,Asia
http://www.wikidata.org/entity/Q28,Hungary,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,9599744,,343,,2024-12-01T10:14:16Z,2023-01-01T00:00:00Z,Europe
http://www.wikidata.org/entity/Q826,Maldives,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,436330,,279,,2024-11-23T09:06:17Z,2017-01-01T00:00:00Z,Asia
http://www.wikidata.org/entity/Q902,Bangladesh,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,171466990,,330,,2024-12-01T10:28:59Z,2023-01-01T00:00:00Z,Asia
http://www.wikidata.org/entity/Q945,Togo,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,7797694,,286,,2024-12-01T10:29:07Z,2017-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q17,Japan,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,124631000,,408,,2024-12-01T10:14:11Z,2023-02-01T00:00:00Z,Asia
http://www.wikidata.org/entity/Q35,Denmark,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,5822863,,358,,2024-11-29T21:51:41Z,2020-01-01T00:00:00Z,Europe
