entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateModified,dateCreated,entityType
http://www.wikidata.org/entity/Q12000985,Skinnerflo,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,1.530165,square kilometre,3,2024-04-14T17:51:35Z,,Lake
http://www.wikidata.org/entity/Q11221319,Mylla,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,1.736508,square kilometre,4,2024-03-31T15:32:34Z,,Lake
http://www.wikidata.org/entity/Q4979630,Brusdalsvatnet,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,7.524569,square kilometre,7,2024-03-31T14:22:35Z,,Lake
http://www.wikidata.org/entity/Q16413419,Lake Pangodi,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,93.3,hectare,7,2024-08-01T06:49:14Z,,Lake
http://www.wikidata.org/entity/Q12003395,Store Eftan,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,0.264988,square kilometre,2,2023-10-30T18:26:03Z,,Lake
http://www.wikidata.org/entity/Q3356657,Vansjø,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,35.598368,square kilometre,11,2024-04-01T03:13:16Z,,Lake
http://www.wikidata.org/entity/Q945079,Hurdalssjøen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,33.210074,square kilometre,12,2024-03-30T23:11:30Z,,Lake
http://www.wikidata.org/entity/Q134485,Lake Balkhash,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,18200,square kilometre,87,2024-11-21T12:23:52Z,,Lake
http://www.wikidata.org/entity/Q674034,Nelaug,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,8.916696,square kilometre,8,2024-04-03T00:22:07Z,,Lake
http://www.wikidata.org/entity/Q19953860,Gåseflåfjorden,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,1.429639,square kilometre,2,2023-10-30T18:16:03Z,,Lake
http://www.wikidata.org/entity/Q1234569,Tunnsjøen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,100.45963,square kilometre,18,2024-04-14T15:21:57Z,,Lake
http://www.wikidata.org/entity/Q11223667,Vråsjåen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,2.679889,square kilometre,4,2024-04-06T21:58:38Z,,Lake
http://www.wikidata.org/entity/Q6477236,Lake Ossa,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,4000,hectare,10,2024-10-31T17:06:36Z,,Lake
http://www.wikidata.org/entity/Q942502,Seljordsvatn,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,16.613292,square kilometre,11,2024-04-05T19:42:04Z,,Lake
http://www.wikidata.org/entity/Q2926543,Brule Lake,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,250,acre,3,2023-12-23T21:15:27Z,,Lake
http://www.wikidata.org/entity/Q10959680,Flåte,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,3.932994,square kilometre,4,2024-04-08T11:55:37Z,,Lake
http://www.wikidata.org/entity/Q3888951,Holmavatnet,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,10.816591,square kilometre,8,2024-04-06T23:07:23Z,,Lake
