entity,entityLabel,category,property,propertyLabel,value,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q676203,Machu Picchu,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-72.545555555,141,,2024-11-11T09:01:06Z
http://www.wikidata.org/entity/Q10285,Colosseum,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,12.492222222,140,,2024-10-05T14:43:05Z
http://www.wikidata.org/entity/Q12506,Hagia Sophia,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,28.98,136,,2024-11-12T15:34:10Z
http://www.wikidata.org/entity/Q39671,Stonehenge,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-1.826111111,133,,2024-11-15T11:24:14Z
http://www.wikidata.org/entity/Q39671,Stonehenge,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-1.826111111,133,,2024-11-15T11:24:14Z
http://www.wikidata.org/entity/Q43473,Angkor Wat,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,103.866666666,132,,2024-11-07T17:46:44Z
http://www.wikidata.org/entity/Q7341,Auschwitz,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,19.178333333,127,,2024-11-07T15:41:54Z
http://www.wikidata.org/entity/Q22647,Troy,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,26.238888888,120,,2024-10-14T16:39:45Z
http://www.wikidata.org/entity/Q37200,Great Pyramid of Giza,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,31.13422,120,,2024-11-11T21:24:58Z
http://www.wikidata.org/entity/Q43332,Pompeii,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,14.489722,116,,2024-11-13T16:49:05Z
