entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q1286,Alps,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,1200,kilometre,202,,2024-11-07T07:50:01Z
http://www.wikidata.org/entity/Q5451,Himalayas,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,2400,kilometre,199,,2024-11-02T14:22:23Z
http://www.wikidata.org/entity/Q5456,Andes,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,7000,kilometre,180,,2024-11-07T15:41:48Z
http://www.wikidata.org/entity/Q35600,Ural Mountains,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,2500,kilometre,132,,2024-11-23T07:10:12Z
http://www.wikidata.org/entity/Q12431,Pyrenees,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,491,kilometre,130,,2024-11-18T04:01:16Z
http://www.wikidata.org/entity/Q1288,Carpathian Mountains,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,1700,kilometre,119,,2024-10-30T18:47:57Z
http://www.wikidata.org/entity/Q5477,Caucasus Mountains,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,1200,kilometre,113,,2024-11-06T13:58:13Z
http://www.wikidata.org/entity/Q1285,Apennine Mountains,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,1200,kilometre,102,,2024-11-18T11:28:02Z
http://www.wikidata.org/entity/Q5469,Karakoram,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,500,kilometre,97,,2024-10-19T17:54:12Z
http://www.wikidata.org/entity/Q130135,Atlas Mountains,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,2550,kilometre,96,,2024-10-31T12:48:33Z
http://www.wikidata.org/entity/Q93332,Appalachian Mountains,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,2400,kilometre,95,,2024-11-11T03:54:50Z
http://www.wikidata.org/entity/Q5474,Tianshan Mountains,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,2500,kilometre,93,,2024-11-14T14:46:01Z
http://www.wikidata.org/entity/Q161750,Pamir Mountains,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,500,kilometre,93,,2024-11-21T15:04:40Z
http://www.wikidata.org/entity/Q170427,Balkan Mountains,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,530,kilometre,83,,2024-10-17T02:24:31Z
http://www.wikidata.org/entity/Q167021,Zagros Mountains,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,1500,kilometre,83,,2024-09-03T08:33:29Z
http://www.wikidata.org/entity/Q4527,Western Ghats,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,1600,kilometre,82,,2024-10-20T03:46:14Z
http://www.wikidata.org/entity/Q484725,Alborz,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,600,kilometre,80,,2024-11-12T17:01:34Z
http://www.wikidata.org/entity/Q26777,Sierra Nevada,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,644,kilometre,77,,2024-10-10T02:15:40Z
