entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateModified,dateCreated
http://www.wikidata.org/entity/Q583,Mont Blanc,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,4805.59,metre,126,2024-09-23T13:43:42Z,
http://www.wikidata.org/entity/Q2566309,Weyerberg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,54.4,metre,6,2024-04-11T12:07:44Z,
http://www.wikidata.org/entity/Q1757764,Mount Royal,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,233,metre,21,2024-10-14T07:14:40Z,
http://www.wikidata.org/entity/Q1760736,Mont Saint-Hilaire,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,408,metre,15,2024-09-14T23:59:33Z,
http://www.wikidata.org/entity/Q3322129,Mount Taimu,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,917.3,metre,9,2024-04-10T10:30:59Z,
http://www.wikidata.org/entity/Q4930753,Blundell Peak,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,160,metre,8,2024-07-11T06:58:51Z,
http://www.wikidata.org/entity/Q513,Mount Everest,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,8848.86,metre,224,2024-11-28T17:05:03Z,
http://www.wikidata.org/entity/Q1301834,Mount Scenery,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,870,metre,31,2024-11-23T22:06:32Z,
http://www.wikidata.org/entity/Q1909649,Matthias-Schmidt-Berg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,663,metre,4,2023-08-04T07:15:32Z,
http://www.wikidata.org/entity/Q770496,Mount Saint Elias,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,5489,metre,42,2024-10-23T00:24:38Z,
http://www.wikidata.org/entity/Q1170944,Minderberg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,405,metre,5,2024-03-31T17:17:07Z,
http://www.wikidata.org/entity/Q546670,Brown Peak,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1705,metre,16,2024-04-23T04:16:12Z,
