entity,entityLabel,category,property,propertyLabel,value,roundedValue,unitLabel,sitelinks,dateCreated,dateModified,entityType
http://www.wikidata.org/entity/Q14824358,Aksakatasay River,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,6.14,6.14,cubic metre per second,6,,2024-07-29T03:27:44Z,River
http://www.wikidata.org/entity/Q4479569,Ushakovka,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,2.08,2.08,cubic metre per second,3,,2022-05-26T17:53:36Z,River
http://www.wikidata.org/entity/Q13203321,Bolshoy Yugan,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,177.67,177.67,cubic metre per second,28,,2023-12-27T21:53:16Z,River
http://www.wikidata.org/entity/Q936023,Rufiji River,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,792,792,cubic metre per second,38,,2024-10-11T02:46:35Z,River
http://www.wikidata.org/entity/Q3714186,Dora di Bardonecchia,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,4.3,4.3,cubic metre per second,5,,2024-08-23T07:16:05Z,River
http://www.wikidata.org/entity/Q5208125,Wu River,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,114.43,114.43,cubic metre per second,8,,2024-03-15T06:51:53Z,River
http://www.wikidata.org/entity/Q4524039,Shinazchay,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,2.86,2.86,cubic metre per second,5,,2024-05-24T22:44:25Z,River
http://www.wikidata.org/entity/Q679050,Armançon,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,30,30,cubic metre per second,17,,2024-09-29T15:17:25Z,River
http://www.wikidata.org/entity/Q3734034,Yerkalnadeypur,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,70,70,cubic metre per second,11,,2024-07-10T09:46:43Z,River
http://www.wikidata.org/entity/Q1263309,Dubysa,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,20.1,20.1,cubic metre per second,24,,2024-04-21T20:53:20Z,River
http://www.wikidata.org/entity/Q4338717,Ostrechina,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,3.7,3.7,cubic metre per second,6,,2024-08-28T21:28:06Z,River
http://www.wikidata.org/entity/Q4282317,Marmarik,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,5.4,5.4,cubic metre per second,7,,2024-10-03T13:49:18Z,River
http://www.wikidata.org/entity/Q1132165,Sviyaga,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,34,34,cubic metre per second,34,,2024-04-09T05:12:15Z,River
http://www.wikidata.org/entity/Q4438700,Srednyaya Lasta,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,0.17,0.17,cubic metre per second,5,,2021-09-23T12:35:01Z,River
http://www.wikidata.org/entity/Q13032366,Q13032366,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,3.4,3.4,cubic metre per second,7,,2023-08-31T11:47:35Z,River
http://www.wikidata.org/entity/Q12075443,Quruçay,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,1.68,1.68,cubic metre per second,6,,2024-02-15T16:04:43Z,River
http://www.wikidata.org/entity/Q3665721,Khadutte,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,70,70,cubic metre per second,5,,2024-01-14T20:29:27Z,River
http://www.wikidata.org/entity/Q1256528,Black Volta,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,263,263,cubic metre per second,33,,2024-09-17T18:39:36Z,River
http://www.wikidata.org/entity/Q3831362,Levone,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,0.3,0.3,cubic metre per second,2,,2021-03-04T21:43:19Z,River
http://www.wikidata.org/entity/Q559283,Yarkand River,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,170,170,cubic metre per second,36,,2024-09-28T07:24:07Z,River
http://www.wikidata.org/entity/Q14617490,River Melfa,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,10,10,cubic metre per second,5,,2023-06-20T23:17:20Z,River
http://www.wikidata.org/entity/Q690162,Moesa,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,10,10,cubic metre per second,17,,2024-08-24T19:00:43Z,River
http://www.wikidata.org/entity/Q5208125,Wu River,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,20.96,20.96,cubic metre per second,8,,2024-03-15T06:51:53Z,River
http://www.wikidata.org/entity/Q1279831,Jerma,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,2.4,2.4,cubic metre per second,16,,2024-06-30T03:49:44Z,River
http://www.wikidata.org/entity/Q3849780,Q3849780,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,0.4,0.4,cubic metre per second,2,,2022-12-13T10:57:01Z,River
http://www.wikidata.org/entity/Q15842579,Rivière Jupiter,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,20,20,cubic metre per second,6,,2024-03-12T11:31:58Z,River
http://www.wikidata.org/entity/Q4024288,Q4024288,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,0.5,0.5,cubic metre per second,2,,2024-09-28T15:35:37Z,River
http://www.wikidata.org/entity/Q13032219,Vaŭčanka,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,1.9,1.9,cubic metre per second,5,,2023-02-08T11:36:23Z,River
http://www.wikidata.org/entity/Q4478527,Ust-Pyalka,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,3.51,3.51,cubic metre per second,3,,2024-08-28T21:28:18Z,River
http://www.wikidata.org/entity/Q3720219,Yalmata,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,0.37,0.37,cubic metre per second,5,,2021-09-23T12:38:43Z,River
http://www.wikidata.org/entity/Q13032360,Q13032360,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,1.8,1.8,cubic metre per second,5,,2022-11-05T00:51:53Z,River
http://www.wikidata.org/entity/Q3887701,Ovesca,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,5.6,5.6,cubic metre per second,3,,2021-02-12T03:35:56Z,River
http://www.wikidata.org/entity/Q12871074,Chachkhuri,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,9,9,cubic metre per second,3,,2023-05-02T20:23:10Z,River
http://www.wikidata.org/entity/Q852308,Laborec,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,545,545,cubic metre per second,27,,2024-06-30T17:06:37Z,River
http://www.wikidata.org/entity/Q3773573,Gornalunga,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,5,5,cubic metre per second,4,,2024-04-07T07:55:35Z,River
http://www.wikidata.org/entity/Q3965020,Sorba,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,1.7,1.7,cubic metre per second,3,,2022-03-20T09:56:04Z,River
http://www.wikidata.org/entity/Q3849781,Derekoyka,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,0.6,0.6,cubic metre per second,7,,2022-12-23T13:02:46Z,River
http://www.wikidata.org/entity/Q12075443,Quruçay,Geography,http://www.wikidata.org/prop/direct/P2225,http://www.wikidata.org/prop/direct/P2225,6.85,6.85,cubic metre per second,6,,2024-02-15T16:04:43Z,River
