entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified,entityType
http://www.wikidata.org/entity/Q14917201,Svirkale,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,14.6,kilometre,3,,2024-11-10T09:04:29Z,River
http://www.wikidata.org/entity/Q18018148,Abuls,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,62.8,kilometre,6,,2023-03-08T13:34:44Z,River
http://www.wikidata.org/entity/Q21663547,Blīgzne,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,17.8,kilometre,2,,2024-10-01T15:54:32Z,River
http://www.wikidata.org/entity/Q35427778,Līkupe,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,46.9,kilometre,2,,2024-04-13T18:01:38Z,River
http://www.wikidata.org/entity/Q5518475,Gales Creek,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,23.5,mile,3,,2024-08-09T07:04:07Z,River
http://www.wikidata.org/entity/Q21178683,Balda,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,25.6,kilometre,3,,2024-10-29T04:04:48Z,River
http://www.wikidata.org/entity/Q713957,Archeda River,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,162,kilometre,13,,2024-07-10T08:03:52Z,River
http://www.wikidata.org/entity/Q20406175,Virga,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,36.8,kilometre,2,,2024-10-26T12:27:36Z,River
http://www.wikidata.org/entity/Q15842579,Rivière Jupiter,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,76,kilometre,6,,2024-03-12T11:31:58Z,River
http://www.wikidata.org/entity/Q629663,Ogre River,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,203,kilometre,21,,2024-09-01T23:11:58Z,River
http://www.wikidata.org/entity/Q11215581,Bērstele,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,49,kilometre,6,,2024-04-12T22:49:14Z,River
http://www.wikidata.org/entity/Q3433913,Rivière du Gouffre,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,71,kilometre,6,,2024-10-27T13:15:51Z,River
http://www.wikidata.org/entity/Q2155724,Rivière Métabetchouane,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,170,kilometre,7,,2024-09-23T12:24:30Z,River
http://www.wikidata.org/entity/Q16356875,Ziemeļsusēja,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,55.1,kilometre,3,,2024-09-01T15:29:49Z,River
http://www.wikidata.org/entity/Q28871168,Lisa,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,30,kilometre,2,,2024-07-26T09:25:54Z,River
http://www.wikidata.org/entity/Q2104928,Portage River,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,67,kilometre,4,,2024-12-01T00:27:22Z,River
http://www.wikidata.org/entity/Q4394333,Rīva River,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,63.1,kilometre,4,,2024-09-12T11:10:49Z,River
http://www.wikidata.org/entity/Q107135789,Sauna,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,39.7,kilometre,2,,2024-04-09T19:53:32Z,River
http://www.wikidata.org/entity/Q131574,Vltava,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,430,kilometre,84,,2024-11-20T18:12:03Z,River
http://www.wikidata.org/entity/Q16352803,Spāre,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,15,kilometre,2,,2024-10-24T13:48:16Z,River
http://www.wikidata.org/entity/Q3738634,Vaidava River,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,83.9,kilometre,9,,2024-08-01T07:10:39Z,River
http://www.wikidata.org/entity/Q14917198,Sesava,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,55.3,kilometre,4,,2024-10-15T18:30:56Z,River
http://www.wikidata.org/entity/Q335575,Sacramento River,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,644,kilometre,49,,2024-08-28T20:55:27Z,River
http://www.wikidata.org/entity/Q16357205,Ālande,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,28.8,kilometre,4,,2024-10-26T12:00:28Z,River
http://www.wikidata.org/entity/Q18543594,Tumšupe,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,60.2,kilometre,3,,2024-04-03T08:16:39Z,River
http://www.wikidata.org/entity/Q21481243,Q21481243,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,15.5,kilometre,2,,2024-11-10T09:02:17Z,River
http://www.wikidata.org/entity/Q27237466,Svēpaine,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,28,kilometre,2,,2024-11-14T19:47:41Z,River
http://www.wikidata.org/entity/Q13398905,Bystrica,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,23.2,kilometre,9,,2023-11-12T17:18:58Z,River
http://www.wikidata.org/entity/Q16356427,Vartaja,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,83.8,kilometre,3,,2024-10-26T12:27:52Z,River
http://www.wikidata.org/entity/Q16350285,Acupīte,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,42.3,kilometre,4,,2024-03-30T21:35:59Z,River
http://www.wikidata.org/entity/Q11009160,Sita,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,38,kilometre,5,,2024-04-07T03:43:28Z,River
http://www.wikidata.org/entity/Q16357605,Ķīšupe,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,37.8,kilometre,3,,2024-09-12T12:45:02Z,River
http://www.wikidata.org/entity/Q16351795,Arona,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,52.9,kilometre,2,,2023-06-03T06:31:39Z,River
http://www.wikidata.org/entity/Q23924694,Engure,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,28,kilometre,2,,2024-08-20T09:06:44Z,River
http://www.wikidata.org/entity/Q3511475,Audruve,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,52.9,kilometre,6,,2024-04-14T16:07:25Z,River
http://www.wikidata.org/entity/Q16348732,Palsa,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,79.9,kilometre,4,,2024-09-01T10:03:20Z,River
http://www.wikidata.org/entity/Q26981649,Lāčupe,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,37.8,kilometre,2,,2024-07-30T11:33:48Z,River
http://www.wikidata.org/entity/Q10951120,Teicija,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,17.6,kilometre,3,,2024-10-26T13:42:56Z,River
http://www.wikidata.org/entity/Q1530094,Mazā Jugla,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,131.3,kilometre,11,,2024-07-30T08:15:13Z,River
http://www.wikidata.org/entity/Q19971519,Větší Vltavice,Geography,http://www.wikidata.org/prop/direct/P2043,http://www.wikidata.org/prop/direct/P2043,22.5,kilometre,3,,2023-12-03T00:40:53Z,River
