entity,entityLabel,category,property,propertyLabel,value,year,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q62,San Francisco,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,873965,,223,,2024-11-20T23:53:17Z
http://www.wikidata.org/entity/Q84,London,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,7987936,1941,345,,2024-11-24T12:34:45Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,125681,2011,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,111783,1930,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,142060,1983,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,14219,1700,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,135147,1988,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q62,San Francisco,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,881549,2019,223,,2024-11-20T23:53:17Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,125936,1996,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,18997,1818,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q65,Los Angeles,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,319198,1910,269,,2024-11-20T23:19:43Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,14515,1764,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,130818,1991,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q62,San Francisco,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,416912,1910,223,,2024-11-20T23:53:17Z
http://www.wikidata.org/entity/Q62,San Francisco,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,723959,1990,223,,2024-11-20T23:53:17Z
http://www.wikidata.org/entity/Q62,San Francisco,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,342782,1900,223,,2024-11-20T23:53:17Z
http://www.wikidata.org/entity/Q62,San Francisco,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,775357,1950,223,,2024-11-20T23:53:17Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,140612,1984,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,24362,1837,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,145285,1981,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,122178,2005,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,122211,2001,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,131554,2015,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,122299,2003,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,122304,2004,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q65,Los Angeles,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,50395,1890,269,,2024-11-20T23:19:43Z
http://www.wikidata.org/entity/Q62,San Francisco,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,827420,2012,223,,2024-11-20T23:53:17Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,136292,1987,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,122422,2006,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,122484,2000,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,122559,2002,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,166800,1968,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,122658,2007,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,122686,1999,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q62,San Francisco,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,715674,1970,223,,2024-11-20T23:53:17Z
http://www.wikidata.org/entity/Q65,Los Angeles,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,4385,1860,269,,2024-11-20T23:19:43Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,127469,1995,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,127515,2012,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,15932,1730,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,122925,2008,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q62,San Francisco,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,873965,2020,223,,2024-11-20T23:53:17Z
http://www.wikidata.org/entity/Q62,San Francisco,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,506676,1920,223,,2024-11-20T23:53:17Z
http://www.wikidata.org/entity/Q65,Los Angeles,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,3976322,2016,269,,2024-11-20T23:19:43Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,44087,1880,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,137134,1986,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q65,Los Angeles,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,1610,1850,269,,2024-11-20T23:19:43Z
http://www.wikidata.org/entity/Q65,Los Angeles,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,102479,1900,269,,2024-11-20T23:19:43Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,146499,1950,201,,2024-11-25T10:59:18Z
http://www.wikidata.org/entity/Q70,Bern,History,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,123254,1998,201,,2024-11-25T10:59:18Z
