entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q125772990,2024 Rio Grande do Sul floods,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,39400000000,Brazilian real,20,,2024-11-15T04:39:36Z
http://www.wikidata.org/entity/Q113297332,2022 Luzon earthquake,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,48300000,Philippine peso,13,,2024-07-25T04:28:29Z
http://www.wikidata.org/entity/Q181481,2011 Thailand floods,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,1425000000000,baht,20,,2024-05-06T23:41:52Z
http://www.wikidata.org/entity/Q691404,Johnstown Flood,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,17000000,United States dollar,15,,2024-08-03T04:02:40Z
http://www.wikidata.org/entity/Q21175521,Hurricane Patricia,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,460000000,United States dollar,34,,2024-10-07T14:11:25Z
http://www.wikidata.org/entity/Q749610,1964 Alaska great earthquake and tsunami,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,311000000,United States dollar,32,,2024-09-15T07:05:03Z
http://www.wikidata.org/entity/Q587127,1976 Friuli earthquake,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,4500000,United States dollar,15,,2022-11-17T21:24:36Z
http://www.wikidata.org/entity/Q151850,February 2011 Christchurch earthquake,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,20000000000,New Zealand dollar,40,,2024-09-15T07:11:19Z
http://www.wikidata.org/entity/Q1384586,Enschede fireworks disaster,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,454000000,Euro,14,,2024-08-13T13:49:16Z
http://www.wikidata.org/entity/Q274498,1923 Great Kantō Earthquake,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,4500000000,yen,49,,2024-09-22T18:18:14Z
http://www.wikidata.org/entity/Q696187,1992 Los Angeles riots,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,1000000000,United States dollar,37,,2024-09-22T18:43:50Z
