entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q65159055,Q65159055,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,3,day,1,,2020-10-09T03:28:55Z
http://www.wikidata.org/entity/Q114765114,70 years after author's death,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,70,year,0,,2024-04-13T18:07:34Z
http://www.wikidata.org/entity/Q5824539,Q5824539,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,45,day,2,,2024-07-24T12:18:24Z
http://www.wikidata.org/entity/Q115763138,card crisis,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,4,year,1,,2024-03-22T12:32:41Z
http://www.wikidata.org/entity/Q61753213,60 years after authors death,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,60,year,0,,2024-03-04T19:30:26Z
http://www.wikidata.org/entity/Q110444013,78 years after author's death,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,78,year,0,,2024-03-04T19:30:36Z
http://www.wikidata.org/entity/Q102314393,Strom Thurmond filibuster of the Civil Rights Act of 1957,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,1458,minute,7,,2024-07-01T02:58:36Z
http://www.wikidata.org/entity/Q22661138,Fifteen Years' War,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,167,month,3,,2021-12-18T22:59:24Z
http://www.wikidata.org/entity/Q109237273,Praja Sankalpa Yatra,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,341,day,2,,2024-03-25T15:01:10Z
http://www.wikidata.org/entity/Q84243408,74 years after author's death,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,74,year,0,,2024-03-04T19:30:30Z
http://www.wikidata.org/entity/Q124438750,Days of the Kragujevac book,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,25,day,1,,2024-02-14T03:05:02Z
http://www.wikidata.org/entity/Q65159057,Q65159057,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,3,day,1,,2020-10-09T04:43:47Z
http://www.wikidata.org/entity/Q25490618,Q25490618,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,1,day,1,,2021-09-21T23:01:32Z
http://www.wikidata.org/entity/Q25490618,Q25490618,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,2,day,1,,2021-09-21T23:01:32Z
http://www.wikidata.org/entity/Q117459937,30 years after author's death,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,30,year,0,,2024-04-13T17:41:18Z
http://www.wikidata.org/entity/Q170850,Anglo-Zanzibar War,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,38,minute,72,,2024-11-13T02:23:22Z
http://www.wikidata.org/entity/Q101947313,Loot für die Welt 7,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,34,hour,0,,2022-04-12T09:15:46Z
http://www.wikidata.org/entity/Q111628603,Easter march in Hof (Saale) on 16.04.2022,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,75,minute,1,,2023-04-08T15:48:49Z
http://www.wikidata.org/entity/Q116861041,2023 Presidential Address to the Federal Assembly,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,105,minute,5,,2024-06-12T09:45:25Z
http://www.wikidata.org/entity/Q61862142,Congreso Futuro 2011,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,4,day,1,,2020-10-09T03:28:22Z
http://www.wikidata.org/entity/Q12406927,Al-Aqsa Mosque fire,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,7,hour,6,,2024-10-07T02:59:24Z
http://www.wikidata.org/entity/Q117460002,75 years after author's death,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,75,year,0,,2024-04-13T17:53:14Z
http://www.wikidata.org/entity/Q703911,Warschauer Kniefall,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,30,second,19,,2024-10-09T13:47:40Z
http://www.wikidata.org/entity/Q47358577,2018 Hawaii false missile alert,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,38,minute,10,,2024-11-14T11:53:40Z
http://www.wikidata.org/entity/Q117720189,100 years after author's death,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,100,year,0,,2024-08-08T16:45:32Z
http://www.wikidata.org/entity/Q114765077,50 years after author's death,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,50,year,0,,2024-03-04T19:30:21Z
http://www.wikidata.org/entity/Q87369831,90 years after author's death,History,http://www.wikidata.org/prop/direct/P2047,http://www.wikidata.org/prop/direct/P2047,90,year,0,,2024-03-04T19:30:42Z
