entity,entityLabel,category,property,propertyLabel,year,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q1369423,Toledo War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1835,16,,2024-11-13T03:33:53Z
http://www.wikidata.org/entity/Q1265861,Great Illyrian Revolt,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,6,18,,2024-11-13T17:36:35Z
http://www.wikidata.org/entity/Q1348630,Ridda Wars,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,632,33,,2024-11-13T17:36:40Z
http://www.wikidata.org/entity/Q1434602,Libyan–Egyptian War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1977,24,,2024-11-13T03:34:01Z
http://www.wikidata.org/entity/Q1545405,New Zealand Wars,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1845,26,,2024-11-17T16:53:47Z
http://www.wikidata.org/entity/Q1382989,Rogue River Wars,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1855,4,,2023-10-27T17:21:51Z
http://www.wikidata.org/entity/Q1560725,Münster Diocesan Feud,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1450,3,,2023-05-15T15:31:27Z
http://www.wikidata.org/entity/Q1192398,Musket Wars,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1807,22,,2024-11-13T17:36:23Z
http://www.wikidata.org/entity/Q1429256,War of the League of Cognac,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1526,28,,2024-11-22T01:50:50Z
http://www.wikidata.org/entity/Q1520241,Yamasee War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1715,13,,2024-11-13T03:39:43Z
http://www.wikidata.org/entity/Q1354920,Djiboutian–Eritrean border conflict,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,2008,15,,2024-11-13T03:39:38Z
http://www.wikidata.org/entity/Q1289560,Seventh French War of Religion,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1579,2,,2024-11-13T17:36:38Z
