entity,entityLabel,category,property,propertyLabel,value,year,sitelinks,dateCreated,dateModified,entityType
http://www.wikidata.org/entity/Q610796,Fort Zoutman,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1866-01-01T00:00:00Z,1866,10,,2023-11-15T15:05:42Z,Building
http://www.wikidata.org/entity/Q3129969,Government Palace,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1822-01-01T00:00:00Z,1822,13,,2024-07-08T11:43:01Z,Building
http://www.wikidata.org/entity/Q2593839,World Trade Center,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1929-01-01T00:00:00Z,1929,6,,2024-03-16T12:20:46Z,Building
http://www.wikidata.org/entity/Q2855964,New Student House,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1910-01-01T00:00:00Z,1910,7,,2024-11-19T08:20:32Z,Building
http://www.wikidata.org/entity/Q833738,Heidelberg Academy for Sciences and Humanities,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1909-05-22T00:00:00Z,1909,14,,2024-11-08T05:44:03Z,Building
http://www.wikidata.org/entity/Q1994473,Vooruit office and printing house,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1930-01-01T00:00:00Z,1930,2,,2021-10-20T12:46:03Z,Building
http://www.wikidata.org/entity/Q3278836,Lampan talo,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1817-01-01T00:00:00Z,1817,3,,2023-08-01T14:04:11Z,Building
http://www.wikidata.org/entity/Q3361310,Palazzo Massari,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1591-01-01T00:00:00Z,1591,6,,2024-11-12T18:47:15Z,Building
http://www.wikidata.org/entity/Q4366528,Pogankiny Chambers in Pskov,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1671-01-01T00:00:00Z,1671,3,,2023-04-03T22:10:12Z,Building
http://www.wikidata.org/entity/Q3671680,Certosa di Bologna,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1801-01-01T00:00:00Z,1801,9,,2024-11-26T20:00:23Z,Building
http://www.wikidata.org/entity/Q3432506,Sophienholm,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1769-01-01T00:00:00Z,1769,5,,2024-09-02T03:55:52Z,Building
http://www.wikidata.org/entity/Q2511681,National Philharmonic Society of Ukraine,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1882-01-01T00:00:00Z,1882,12,,2024-11-05T11:27:39Z,Building
http://www.wikidata.org/entity/Q3891009,Palazzo Tozzoni,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1738-01-01T00:00:00Z,1738,4,,2024-11-24T08:25:49Z,Building
http://www.wikidata.org/entity/Q4595927,1 Bligh Street,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,2011-07-01T00:00:00Z,2011,3,,2023-10-18T03:15:57Z,Building
http://www.wikidata.org/entity/Q5168490,Copenhagen Stocks House,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1670-01-01T00:00:00Z,1670,3,,2024-07-16T17:02:18Z,Building
http://www.wikidata.org/entity/Q5710436,Helsingin Suomalainen Yhteiskoulu,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1886-01-01T00:00:00Z,1886,3,,2024-11-28T11:15:56Z,Building
http://www.wikidata.org/entity/Q6929873,Mrs. Sam Houston House,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1830-01-01T00:00:00Z,1830,2,,2024-02-14T04:13:29Z,Building
http://www.wikidata.org/entity/Q10419250,Aschanska Villa,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1906-01-01T00:00:00Z,1906,14,,2024-05-13T21:27:31Z,Building
http://www.wikidata.org/entity/Q10670180,Erottaja fire station,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1891-01-01T00:00:00Z,1891,5,,2023-09-15T19:30:02Z,Building
http://www.wikidata.org/entity/Q7766611,Stone House,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1848-01-01T00:00:00Z,1848,2,,2021-03-17T10:48:31Z,Building
http://www.wikidata.org/entity/Q5728819,Henry Street Settlement,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1893-01-01T00:00:00Z,1893,4,,2024-11-30T21:32:43Z,Building
http://www.wikidata.org/entity/Q7431287,Schifferstadt,History,http://www.wikidata.org/prop/direct/P571,http://www.wikidata.org/prop/direct/P571,1758-01-01T00:00:00Z,1758,2,,2024-07-11T01:52:27Z,Building
