person,personLabel,category,property,propertyLabel,endYear,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q3986664,Hacı Pasha,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1349,http://www.wikidata.org/entity/Q82955,politician,16,,2024-12-08T06:01:12Z
http://www.wikidata.org/entity/Q198211,Zhuge Liang,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,234,http://www.wikidata.org/entity/Q82955,politician,57,,2024-11-02T18:21:30Z
http://www.wikidata.org/entity/Q278763,Anund Gårdske,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1075,http://www.wikidata.org/entity/Q82955,politician,25,,2024-11-14T14:57:25Z
http://www.wikidata.org/entity/Q1067,Dante Alighieri,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1321,http://www.wikidata.org/entity/Q82955,politician,258,,2024-12-08T03:18:55Z
http://www.wikidata.org/entity/Q212872,Alcaeus of Mytilene,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,-600,http://www.wikidata.org/entity/Q82955,politician,63,,2024-10-12T23:08:50Z
http://www.wikidata.org/entity/Q83375,Empedocles,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,-431,http://www.wikidata.org/entity/Q82955,politician,106,,2024-12-08T15:22:24Z
http://www.wikidata.org/entity/Q19629001,Sidi Boushaki,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1453,http://www.wikidata.org/entity/Q901,scientist,29,,2024-11-04T03:57:31Z
http://www.wikidata.org/entity/Q69523,Master of the Life of the Virgin,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1480,http://www.wikidata.org/entity/Q483501,artist,12,,2024-10-26T12:34:36Z
http://www.wikidata.org/entity/Q4718348,Alexander Bening,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1518,http://www.wikidata.org/entity/Q483501,artist,11,,2024-10-28T03:45:07Z
http://www.wikidata.org/entity/Q242688,John Hunyadi,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1456,http://www.wikidata.org/entity/Q82955,politician,44,,2024-10-11T13:31:14Z
http://www.wikidata.org/entity/Q239337,Philip III the Good,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1467,http://www.wikidata.org/entity/Q82955,politician,58,,2024-12-09T10:02:55Z
