person,personLabel,category,property,propertyLabel,startYear,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q182046,Leon Battista Alberti,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1419,http://www.wikidata.org/entity/Q901,scientist,82,,2024-12-08T17:38:02Z
http://www.wikidata.org/entity/Q534027,Tamara Braun,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1997,http://www.wikidata.org/entity/Q901,scientist,12,,2024-11-17T21:13:35Z
http://www.wikidata.org/entity/Q512560,Nikolay Kamov,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1923,http://www.wikidata.org/entity/Q901,scientist,28,,2024-10-27T08:21:18Z
http://www.wikidata.org/entity/Q3521524,Tessy Thomas,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1988,http://www.wikidata.org/entity/Q901,scientist,26,,2023-10-28T09:42:09Z
http://www.wikidata.org/entity/Q528647,S. Yizhar,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1938,http://www.wikidata.org/entity/Q901,scientist,22,,2024-11-25T06:23:00Z
http://www.wikidata.org/entity/Q102289,Buckminster Fuller,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1915,http://www.wikidata.org/entity/Q901,scientist,85,,2024-12-08T03:26:16Z
http://www.wikidata.org/entity/Q139890,Zack Snyder,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1990,http://www.wikidata.org/entity/Q901,scientist,56,,2024-11-15T11:18:36Z
http://www.wikidata.org/entity/Q19629001,Sidi Boushaki,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1414,http://www.wikidata.org/entity/Q901,scientist,29,,2024-11-04T03:57:31Z
http://www.wikidata.org/entity/Q19615664,Anat Berko,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1978,http://www.wikidata.org/entity/Q901,scientist,14,,2024-05-11T06:10:44Z
http://www.wikidata.org/entity/Q4066788,Tatiana Anodina,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1961,http://www.wikidata.org/entity/Q901,scientist,13,,2024-09-10T20:29:48Z
http://www.wikidata.org/entity/Q123089,Benjamin Constant,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1779,http://www.wikidata.org/entity/Q901,scientist,67,,2024-11-22T07:30:29Z
http://www.wikidata.org/entity/Q77280,Justinus Kerner,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1810,http://www.wikidata.org/entity/Q901,scientist,26,,2024-12-08T04:25:44Z
http://www.wikidata.org/entity/Q192496,Robert Fulton,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1793,http://www.wikidata.org/entity/Q901,scientist,67,,2024-11-25T07:39:33Z
http://www.wikidata.org/entity/Q2579684,Piatro Hliebka,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1925,http://www.wikidata.org/entity/Q901,scientist,11,,2024-10-02T10:06:11Z
http://www.wikidata.org/entity/Q272492,Diana Gabaldon,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1991,http://www.wikidata.org/entity/Q901,scientist,32,,2024-10-20T03:21:05Z
http://www.wikidata.org/entity/Q1048333,Cassiano dal Pozzo,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1608,http://www.wikidata.org/entity/Q901,scientist,12,,2024-11-02T20:15:43Z
http://www.wikidata.org/entity/Q2063254,Karl Kruszelnicki,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1981,http://www.wikidata.org/entity/Q901,scientist,11,,2024-11-30T12:33:30Z
