person,personLabel,category,property,propertyLabel,value,currency,currencyLabel,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q53626,Gerhard Louis De Geer,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,498000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,22,,2024-05-21T20:18:19Z
http://www.wikidata.org/entity/Q27922634,Paul Mitchell,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,37.7,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,15,,2024-08-26T08:54:57Z
http://www.wikidata.org/entity/Q57794,Bidzina Ivanishvili,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,1020000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,53,,2024-12-09T08:00:28Z
http://www.wikidata.org/entity/Q299574,Anwar Ibrahim,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,11170000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,60,,2024-11-20T13:22:47Z
http://www.wikidata.org/entity/Q232538,Patty Duke,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,10000000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,55,,2024-11-30T12:11:22Z
http://www.wikidata.org/entity/Q1058,Narendra Modi,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,391937,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,165,,2024-11-23T18:44:49Z
http://www.wikidata.org/entity/Q717154,Joseph R. Davis,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,8100,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,12,,2024-11-21T18:06:36Z
http://www.wikidata.org/entity/Q717154,Joseph R. Davis,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,500,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,12,,2024-11-21T18:06:36Z
http://www.wikidata.org/entity/Q2665468,Dwight Morrow,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,10000000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,16,,2024-10-25T19:08:42Z
http://www.wikidata.org/entity/Q880672,John Francis Mercer,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,16978.75,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,13,,2024-11-26T19:30:25Z
http://www.wikidata.org/entity/Q717154,Joseph R. Davis,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,56900,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,12,,2024-11-21T18:06:36Z
http://www.wikidata.org/entity/Q266119,James McHenry,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,87821.37,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,22,,2024-10-28T22:26:53Z
http://www.wikidata.org/entity/Q970272,Ron Johnson,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,39230000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,30,,2024-11-13T16:26:03Z
http://www.wikidata.org/entity/Q65126,Gregor Gysi,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,13000000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,38,,2024-12-08T04:03:19Z
http://www.wikidata.org/entity/Q263322,Elaine Chao,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,24000000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,40,,2024-11-02T16:32:42Z
http://www.wikidata.org/entity/Q970272,Ron Johnson,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,36000000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,30,,2024-11-13T16:26:03Z
http://www.wikidata.org/entity/Q982749,Valeriy Khoroshkovskyi,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,300000000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,13,,2024-10-23T11:50:59Z
http://www.wikidata.org/entity/Q57282,Jacob Zuma,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,20000000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,102,,2024-11-20T00:47:07Z
http://www.wikidata.org/entity/Q26702,"Armand-Jean du Plessis, duc de Richelieu",Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,20000000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,105,,2024-12-08T03:29:10Z
http://www.wikidata.org/entity/Q318493,Najib Mikati,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,345000000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,56,,2024-12-09T04:09:24Z
http://www.wikidata.org/entity/Q935734,Jared Polis,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,313600000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,32,,2024-11-14T23:16:08Z
http://www.wikidata.org/entity/Q285536,Imelda Marcos,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,923800000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,101,,2024-10-28T22:57:26Z
http://www.wikidata.org/entity/Q2096387,Shehbaz Sharif,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,1500000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,63,,2024-11-09T17:25:56Z
http://www.wikidata.org/entity/Q58323131,Dean Phillips,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,77000000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,24,,2024-11-20T17:43:53Z
http://www.wikidata.org/entity/Q6279,Joe Biden,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,9000000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,271,,2024-11-26T19:25:06Z
http://www.wikidata.org/entity/Q12655545,Gintautas Paluckas,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,2138592,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,22,,2024-12-07T12:57:29Z
http://www.wikidata.org/entity/Q4911497,Bill de Blasio,Personalities,http://www.wikidata.org/prop/direct/P2218,http://www.wikidata.org/prop/direct/P2218,2500000,http://www.wikidata.org/entity/Q131016,Czech koruna,http://www.wikidata.org/entity/Q82955,politician,54,,2024-11-10T19:50:17Z
