person,personLabel,category,property,propertyLabel,value,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q508338,Luca Zaia,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,20,,2024-10-27T04:07:01Z
http://www.wikidata.org/entity/Q276410,Marga Klompé,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,13,,2024-11-29T09:42:56Z
http://www.wikidata.org/entity/Q236421,Janet Reno,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,36,,2024-10-23T10:37:48Z
http://www.wikidata.org/entity/Q120564,Empress Meishō,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,41,,2024-06-18T01:30:26Z
http://www.wikidata.org/entity/Q386213,"John Spencer, 3rd Earl Spencer",Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,14,,2024-10-26T23:50:26Z
http://www.wikidata.org/entity/Q298985,William R. King,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,56,,2024-10-28T23:14:43Z
http://www.wikidata.org/entity/Q360160,Gotse Delchev,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,36,,2024-11-11T18:14:04Z
http://www.wikidata.org/entity/Q279396,Vazgen Sargsyan,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,32,,2024-09-12T13:11:14Z
http://www.wikidata.org/entity/Q257881,Ritt Bjerregaard,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,19,,2024-11-25T19:32:26Z
http://www.wikidata.org/entity/Q10853588,Kamala Harris,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,174,,2024-12-03T17:41:45Z
http://www.wikidata.org/entity/Q74268,Bernhard Vogel,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,17,,2024-10-26T12:50:13Z
http://www.wikidata.org/entity/Q114286,Barbara Prammer,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,20,,2024-10-11T12:44:01Z
http://www.wikidata.org/entity/Q36233,Václav Havel,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,135,,2024-12-08T03:32:14Z
