person,personLabel,category,property,propertyLabel,birthYear,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q315266,Nikolai Pirogov,Personalities,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1810,http://www.wikidata.org/entity/Q901,scientist,52,,2024-10-26T23:12:31Z
http://www.wikidata.org/entity/Q268702,Mary Somerville,Personalities,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1780,http://www.wikidata.org/entity/Q901,scientist,51,,2024-11-26T19:28:26Z
http://www.wikidata.org/entity/Q335300,"George Campbell, 8th Duke of Argyll",Personalities,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1823,http://www.wikidata.org/entity/Q901,scientist,20,,2024-11-23T23:46:14Z
http://www.wikidata.org/entity/Q356317,John Aubrey,Personalities,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1626,http://www.wikidata.org/entity/Q901,scientist,36,,2024-10-29T01:19:26Z
http://www.wikidata.org/entity/Q276996,Óscar Ichazo,Personalities,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1931,http://www.wikidata.org/entity/Q901,scientist,12,,2024-11-12T03:25:12Z
http://www.wikidata.org/entity/Q306914,Abbé Faria,Personalities,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1756,http://www.wikidata.org/entity/Q901,scientist,19,,2024-10-13T10:16:49Z
http://www.wikidata.org/entity/Q302835,Nasir al-Din al-Tusi,Personalities,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1201,http://www.wikidata.org/entity/Q901,scientist,71,,2024-12-02T23:39:56Z
http://www.wikidata.org/entity/Q272492,Diana Gabaldon,Personalities,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1952,http://www.wikidata.org/entity/Q901,scientist,32,,2024-10-20T03:21:05Z
http://www.wikidata.org/entity/Q334760,Shing-Tung Yau,Personalities,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1949,http://www.wikidata.org/entity/Q901,scientist,40,,2024-10-27T08:29:21Z
http://www.wikidata.org/entity/Q289217,Étienne-Jules Marey,Personalities,http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/prop/direct/P569,1830,http://www.wikidata.org/entity/Q901,scientist,35,,2024-12-09T10:03:22Z
