entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q13445,Celaeno,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,4,solar mass,27
http://www.wikidata.org/entity/Q14038,Delta Sagittarii,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,3.21,solar mass,23
http://www.wikidata.org/entity/Q15722,Upsilon Librae,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.67,solar mass,14
http://www.wikidata.org/entity/Q81069,61 Virginis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.95,solar mass,19
http://www.wikidata.org/entity/Q14057,Tau Puppis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,3.3,solar mass,15
http://www.wikidata.org/entity/Q196848,Zeta Tauri,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,11.2,solar mass,22
http://www.wikidata.org/entity/Q15719,Sigma Librae,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,2.1,solar mass,20
http://www.wikidata.org/entity/Q15714,Thuban,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,2.8,solar mass,32
http://www.wikidata.org/entity/Q11212,Messier 4,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,6.28,solar mass,60
http://www.wikidata.org/entity/Q206663,KY Cygni,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,25,solar mass,29
http://www.wikidata.org/entity/Q12975,Altair,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.7,solar mass,67
http://www.wikidata.org/entity/Q14065,Zeta Ursae Minoris,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,3,solar mass,16
http://www.wikidata.org/entity/Q169398,Beta Camelopardalis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,6.5,solar mass,23
http://www.wikidata.org/entity/Q208969,1RXS J160929.1−210524,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.73,solar mass,17
http://www.wikidata.org/entity/Q139390,HD 37124,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.83,solar mass,19
http://www.wikidata.org/entity/Q139390,HD 37124,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.85,solar mass,19
http://www.wikidata.org/entity/Q135520,10 Lacertae,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,26.9,solar mass,13
http://www.wikidata.org/entity/Q136713,Epsilon Lupi,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,13.2,solar mass,12
http://www.wikidata.org/entity/Q14215,Alpha Pyxidis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,10.7,solar mass,20
http://www.wikidata.org/entity/Q155920,PSR B1913+16,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.441,solar mass,24
http://www.wikidata.org/entity/Q73266,Gliese 163,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.4,solar mass,16
http://www.wikidata.org/entity/Q13347,Delta Herculis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,2.4,solar mass,18
http://www.wikidata.org/entity/Q83747,Q83747,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.73,solar mass,13
http://www.wikidata.org/entity/Q50669,Alpha Centauri Bb,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.0036,Jupiter mass,33
