entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q547497,HD 69830 b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,8.667,day,12
http://www.wikidata.org/entity/Q1132752,47 Ursae Majoris d,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,19000,day,12
http://www.wikidata.org/entity/Q170347,Gliese 581 c,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,12.9144,day,58
http://www.wikidata.org/entity/Q1153626,Kepler-4 b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,3.2136629786,day,21
http://www.wikidata.org/entity/Q1152968,HAT-P-13 b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,2.9162431,day,12
http://www.wikidata.org/entity/Q1156664,Gliese 179 b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,2333,day,11
http://www.wikidata.org/entity/Q1418146,PSR 1257+12 b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,25.34,day,26
http://www.wikidata.org/entity/Q113958577,TOI-1452 b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,11.06201,day,11
http://www.wikidata.org/entity/Q50668,55 Cancri e,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,0.7365474,day,36
http://www.wikidata.org/entity/Q246648,PH1,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,138.317,day,16
http://www.wikidata.org/entity/Q931620,Mu Arae c,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,4472.967,day,21
http://www.wikidata.org/entity/Q1329165,HD 4308 b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,15.56,day,11
http://www.wikidata.org/entity/Q1326802,WASP-5b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,1.62843033,day,11
http://www.wikidata.org/entity/Q73561,PSR B1257+12 c,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,66.563,day,35
http://www.wikidata.org/entity/Q652751,HD 216770 b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,118.45,day,12
http://www.wikidata.org/entity/Q191746,Apollo 10,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,2,hour,55
http://www.wikidata.org/entity/Q50665,55 Cancri b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,14.6516,day,27
http://www.wikidata.org/entity/Q204500,18 Delphini b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,982.85,day,17
http://www.wikidata.org/entity/Q1146347,SWEEPS-04,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,4.2,day,12
http://www.wikidata.org/entity/Q20726281,Q20726281,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,384.843022,day,62
http://www.wikidata.org/entity/Q630272,COROT-Exo-7b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,0.8535,day,33
http://www.wikidata.org/entity/Q1069156,Gliese 86 b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,15.76491,day,12
http://www.wikidata.org/entity/Q52654201,WASP-107b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,5.721488,day,13
http://www.wikidata.org/entity/Q1814013,Kepler-20 f,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,19.5783276933,day,25
http://www.wikidata.org/entity/Q18747892,Q18747892,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,112.303409656,day,26
http://www.wikidata.org/entity/Q1039209,COROT-6b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,8.8866287,day,13
http://www.wikidata.org/entity/Q24908933,TRAPPIST-1c,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,2.42180746,day,21
http://www.wikidata.org/entity/Q50667,55 Cancri d,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,5574.2,day,25
http://www.wikidata.org/entity/Q34848979,Tylos,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,1.2749255,day,13
http://www.wikidata.org/entity/Q795791,BD-10°3166 b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,3.487,day,11
http://www.wikidata.org/entity/Q24049346,Q24049346,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,259.33683,day,13
http://www.wikidata.org/entity/Q20820656,51 Eridani b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,11688,day,16
http://www.wikidata.org/entity/Q14624923,Kepler-78 b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,0.35500744,day,17
http://www.wikidata.org/entity/Q260224,HD 2039 b,Science,http://www.wikidata.org/prop/direct/P2146,http://www.wikidata.org/prop/direct/P2146,1183,day,11
