entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q14247,Iota Carinae,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,40,centimetre per square second,21
http://www.wikidata.org/entity/Q135568,Mu Lupi,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,6300,centimetre per square second,9
http://www.wikidata.org/entity/Q14200,Delta Virginis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,6,centimetre per square second,20
http://www.wikidata.org/entity/Q13439,Taygeta,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,10000,centimetre per square second,26
http://www.wikidata.org/entity/Q233746,42 Aquarii,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,800,centimetre per square second,7
http://www.wikidata.org/entity/Q135124,WASP-12,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,16600,centimetre per square second,23
http://www.wikidata.org/entity/Q260362,Kalausi,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,26700,centimetre per square second,12
http://www.wikidata.org/entity/Q256560,BD-08°2823,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,21400,centimetre per square second,7
http://www.wikidata.org/entity/Q236654,47 Ursae Majoris,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,18000,centimetre per square second,26
http://www.wikidata.org/entity/Q14205,Epsilon Leonis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,148,centimetre per square second,18
http://www.wikidata.org/entity/Q6675,15 Orionis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,6300,centimetre per square second,14
http://www.wikidata.org/entity/Q13337,Beta Herculis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,520,centimetre per square second,27
