entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q897,gold,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,196.96657,dalton,264,,2024-11-17T03:50:28Z
http://www.wikidata.org/entity/Q677,iron,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,55.845,dalton,242,,2024-11-24T12:09:33Z
http://www.wikidata.org/entity/Q556,hydrogen,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.008,dalton,230,,2024-11-18T13:17:30Z
http://www.wikidata.org/entity/Q629,oxygen,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,15.999,dalton,224,,2024-11-23T14:38:50Z
http://www.wikidata.org/entity/Q1090,silver,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,107.8682,dalton,224,,2024-11-20T23:01:04Z
http://www.wikidata.org/entity/Q753,copper,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,63.546,dalton,218,,2024-11-17T03:47:01Z
http://www.wikidata.org/entity/Q623,carbon,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,12.011,dalton,211,,2024-10-29T10:09:48Z
http://www.wikidata.org/entity/Q560,helium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,4.002602,dalton,201,,2024-10-29T10:08:52Z
http://www.wikidata.org/entity/Q663,aluminium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,26.9815384,dalton,200,,2024-11-19T21:11:48Z
http://www.wikidata.org/entity/Q627,nitrogen,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,14.007,dalton,198,,2024-11-02T16:52:22Z
http://www.wikidata.org/entity/Q568,lithium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,6.94,dalton,192,,2024-10-29T10:09:05Z
http://www.wikidata.org/entity/Q682,sulfur,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,32.06,dalton,187,,2024-10-29T09:51:35Z
http://www.wikidata.org/entity/Q708,lead,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,207.2,dalton,186,,2024-11-17T03:44:19Z
http://www.wikidata.org/entity/Q1096,tin,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,118.71,dalton,183,,2024-11-17T03:43:14Z
http://www.wikidata.org/entity/Q925,mercury,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,200.592,dalton,181,,2024-11-17T22:04:48Z
http://www.wikidata.org/entity/Q569,beryllium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,9.0121831,dalton,179,,2024-10-29T10:09:16Z
http://www.wikidata.org/entity/Q658,sodium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,22.98976928,dalton,179,,2024-11-16T15:09:30Z
http://www.wikidata.org/entity/Q706,calcium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,40.078,dalton,178,,2024-11-17T03:39:45Z
http://www.wikidata.org/entity/Q654,neon,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,20.1797,dalton,177,,2024-10-29T09:50:16Z
http://www.wikidata.org/entity/Q674,phosphorus,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,30.973761998,dalton,173,,2024-10-29T09:51:24Z
http://www.wikidata.org/entity/Q1098,uranium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,238.02891,dalton,173,,2024-11-07T10:14:19Z
http://www.wikidata.org/entity/Q670,silicon,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,28.085,dalton,172,,2024-10-29T09:51:10Z
http://www.wikidata.org/entity/Q758,zinc,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,65.38,dalton,172,,2024-11-17T03:42:07Z
http://www.wikidata.org/entity/Q650,fluorine,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,18.998403162,dalton,171,,2024-11-18T08:16:46Z
http://www.wikidata.org/entity/Q688,chlorine,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,35.45,dalton,171,,2024-10-29T09:51:46Z
http://www.wikidata.org/entity/Q618,boron,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,10.81,dalton,170,,2024-11-22T19:47:17Z
http://www.wikidata.org/entity/Q660,magnesium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,24.305,dalton,170,,2024-11-18T10:32:34Z
http://www.wikidata.org/entity/Q703,potassium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,39.0983,dalton,170,,2024-10-28T10:56:43Z
http://www.wikidata.org/entity/Q696,argon,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,39.95,dalton,166,,2024-10-29T09:38:53Z
http://www.wikidata.org/entity/Q716,titanium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,47.867,dalton,161,,2024-11-18T08:34:54Z
http://www.wikidata.org/entity/Q725,chromium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,51.9961,dalton,160,,2024-11-17T22:06:22Z
http://www.wikidata.org/entity/Q871,arsenic,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,74.921595,dalton,160,,2024-11-19T14:03:55Z
http://www.wikidata.org/entity/Q1103,iodine,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,126.90447,dalton,160,,2024-10-29T09:57:11Z
http://www.wikidata.org/entity/Q731,manganese,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,54.938043,dalton,158,,2024-11-04T13:30:41Z
http://www.wikidata.org/entity/Q740,cobalt,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,58.933194,dalton,158,,2024-11-11T14:06:33Z
http://www.wikidata.org/entity/Q744,nickel,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,58.6934,dalton,158,,2024-11-04T16:33:38Z
http://www.wikidata.org/entity/Q880,platinum,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,195.084,dalton,156,,2024-11-19T16:49:30Z
http://www.wikidata.org/entity/Q888,krypton,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,83.798,dalton,156,,2024-10-29T13:25:43Z
http://www.wikidata.org/entity/Q1112,barium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,137.327,dalton,155,,2024-10-29T09:57:44Z
http://www.wikidata.org/entity/Q722,vanadium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,50.9415,dalton,154,,2024-10-29T19:00:16Z
http://www.wikidata.org/entity/Q861,gallium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,69.723,dalton,153,,2024-11-18T08:38:25Z
http://www.wikidata.org/entity/Q879,bromine,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,79.904,dalton,153,,2024-10-29T09:54:21Z
http://www.wikidata.org/entity/Q876,selenium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,78.971,dalton,152,,2024-10-29T13:28:23Z
http://www.wikidata.org/entity/Q1091,cadmium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,112.414,dalton,151,,2024-10-31T09:39:34Z
http://www.wikidata.org/entity/Q1106,xenon,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,131.293,dalton,151,,2024-10-30T15:22:43Z
http://www.wikidata.org/entity/Q1099,antimony,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,121.76,dalton,150,,2024-11-11T05:16:05Z
http://www.wikidata.org/entity/Q1108,caesium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,132.90545196,dalton,150,,2024-11-18T08:40:11Z
http://www.wikidata.org/entity/Q713,scandium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,44.955907,dalton,149,,2024-11-18T08:35:15Z
http://www.wikidata.org/entity/Q743,tungsten,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,183.84,dalton,149,,2024-11-18T08:38:23Z
http://www.wikidata.org/entity/Q938,strontium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,87.62,dalton,149,,2024-10-30T15:24:15Z
http://www.wikidata.org/entity/Q877,iridium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,192.217,dalton,148,,2024-11-11T14:07:08Z
http://www.wikidata.org/entity/Q895,rubidium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,85.4678,dalton,148,,2024-11-18T08:39:55Z
http://www.wikidata.org/entity/Q867,germanium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,72.63,dalton,147,,2024-10-30T08:04:36Z
http://www.wikidata.org/entity/Q942,bismuth,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,208.9804,dalton,147,,2024-10-30T15:30:17Z
http://www.wikidata.org/entity/Q751,osmium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,190.23,dalton,146,,2024-11-18T08:38:55Z
