entity,entityLabel,category,property,propertyLabel,value,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q556,hydrogen,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,1,230,,2024-11-18T13:17:30Z
http://www.wikidata.org/entity/Q560,helium,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,2,201,,2024-10-29T10:08:52Z
http://www.wikidata.org/entity/Q568,lithium,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,3,192,,2024-10-29T10:09:05Z
http://www.wikidata.org/entity/Q569,beryllium,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,4,179,,2024-10-29T10:09:16Z
http://www.wikidata.org/entity/Q618,boron,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,5,170,,2024-11-22T19:47:17Z
http://www.wikidata.org/entity/Q623,carbon,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,6,211,,2024-10-29T10:09:48Z
http://www.wikidata.org/entity/Q627,nitrogen,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,7,198,,2024-11-02T16:52:22Z
http://www.wikidata.org/entity/Q629,oxygen,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,8,224,,2024-11-23T14:38:50Z
http://www.wikidata.org/entity/Q650,fluorine,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,9,171,,2024-11-18T08:16:46Z
http://www.wikidata.org/entity/Q654,neon,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,10,177,,2024-10-29T09:50:16Z
http://www.wikidata.org/entity/Q658,sodium,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,11,179,,2024-11-16T15:09:30Z
http://www.wikidata.org/entity/Q660,magnesium,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,12,170,,2024-11-18T10:32:34Z
http://www.wikidata.org/entity/Q663,aluminium,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,13,200,,2024-11-19T21:11:48Z
http://www.wikidata.org/entity/Q670,silicon,Science,http://www.wikidata.org/prop/direct/P1086,http://www.wikidata.org/prop/direct/P1086,14,172,,2024-10-29T09:51:10Z
