entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q897,gold,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,1064.18,degree Celsius,264,,2024-11-17T03:50:28Z
http://www.wikidata.org/entity/Q677,iron,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,1538,degree Celsius,242,,2024-11-24T12:09:33Z
http://www.wikidata.org/entity/Q556,hydrogen,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,-259.14,degree Celsius,230,,2024-11-18T13:17:30Z
http://www.wikidata.org/entity/Q753,copper,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,1085,degree Celsius,218,,2024-11-17T03:47:01Z
http://www.wikidata.org/entity/Q560,helium,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,-272.05,degree Celsius,201,,2024-10-29T10:08:52Z
http://www.wikidata.org/entity/Q663,aluminium,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,660,degree Celsius,200,,2024-11-19T21:11:48Z
http://www.wikidata.org/entity/Q568,lithium,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,180.5,degree Celsius,192,,2024-10-29T10:09:05Z
http://www.wikidata.org/entity/Q708,lead,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,328,degree Celsius,186,,2024-11-17T03:44:19Z
http://www.wikidata.org/entity/Q1096,tin,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,231.9,degree Celsius,183,,2024-11-17T03:43:14Z
http://www.wikidata.org/entity/Q925,mercury,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,-38.83,degree Celsius,181,,2024-11-17T22:04:48Z
http://www.wikidata.org/entity/Q569,beryllium,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,1278,degree Celsius,179,,2024-10-29T10:09:16Z
http://www.wikidata.org/entity/Q706,calcium,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,838.85,degree Celsius,178,,2024-11-17T03:39:45Z
http://www.wikidata.org/entity/Q654,neon,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,-248.6,degree Celsius,177,,2024-10-29T09:50:16Z
http://www.wikidata.org/entity/Q758,zinc,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,419,degree Celsius,172,,2024-11-17T03:42:07Z
http://www.wikidata.org/entity/Q618,boron,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,2077,degree Celsius,170,,2024-11-22T19:47:17Z
http://www.wikidata.org/entity/Q618,boron,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,2180,degree Celsius,170,,2024-11-22T19:47:17Z
http://www.wikidata.org/entity/Q618,boron,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,2075,degree Celsius,170,,2024-11-22T19:47:17Z
http://www.wikidata.org/entity/Q660,magnesium,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,649,degree Celsius,170,,2024-11-18T10:32:34Z
http://www.wikidata.org/entity/Q703,potassium,Science,http://www.wikidata.org/prop/direct/P2101,http://www.wikidata.org/prop/direct/P2101,63.65,degree Celsius,170,,2024-10-28T10:56:43Z
