entity,entityLabel,category,property,propertyLabel,year,sitelinks
http://www.wikidata.org/entity/Q1832,gadolinium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1880,133
http://www.wikidata.org/entity/Q1843,dysprosium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1886,131
http://www.wikidata.org/entity/Q1901,nobelium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1958,132
http://www.wikidata.org/entity/Q1905,lawrencium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1961,130
http://www.wikidata.org/entity/Q1853,thulium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1879,127
http://www.wikidata.org/entity/Q1846,holmium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1878,129
http://www.wikidata.org/entity/Q1849,erbium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1843,130
http://www.wikidata.org/entity/Q1819,samarium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1879,135
http://www.wikidata.org/entity/Q21601948,Q-carbon,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,2015,11
http://www.wikidata.org/entity/Q1801,lanthanum,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1839,140
http://www.wikidata.org/entity/Q1855,ytterbium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1878,130
http://www.wikidata.org/entity/Q3245302,Tylenol,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1955,12
http://www.wikidata.org/entity/Q1857,lutetium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1906,135
http://www.wikidata.org/entity/Q1898,mendelevium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1955,131
http://www.wikidata.org/entity/Q1896,fermium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1952,132
http://www.wikidata.org/entity/Q1809,promethium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1945,134
http://www.wikidata.org/entity/Q1882,berkelium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1949,132
http://www.wikidata.org/entity/Q1888,californium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1950,134
http://www.wikidata.org/entity/Q1892,einsteinium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1952,135
http://www.wikidata.org/entity/Q1820048,Haarlem oil,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1696,6
http://www.wikidata.org/entity/Q1838,terbium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1843,130
http://www.wikidata.org/entity/Q1876,curium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1944,132
http://www.wikidata.org/entity/Q1872,americium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1944,135
http://www.wikidata.org/entity/Q880,platinum,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1557,156
http://www.wikidata.org/entity/Q1119,hafnium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1922,144
http://www.wikidata.org/entity/Q1089,palladium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1803,144
http://www.wikidata.org/entity/Q1306,tennessine,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,2009,117
http://www.wikidata.org/entity/Q1306,tennessine,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,2010,117
http://www.wikidata.org/entity/Q623,carbon,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1789,211
http://www.wikidata.org/entity/Q670,silicon,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1823,172
http://www.wikidata.org/entity/Q568,lithium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1817,192
http://www.wikidata.org/entity/Q1396,europium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1901,138
http://www.wikidata.org/entity/Q1094,indium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1863,142
http://www.wikidata.org/entity/Q722,vanadium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1801,154
http://www.wikidata.org/entity/Q731,manganese,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1774,158
http://www.wikidata.org/entity/Q660,magnesium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1755,170
http://www.wikidata.org/entity/Q1304,livermorium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,2000,124
http://www.wikidata.org/entity/Q1108,caesium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1860,150
http://www.wikidata.org/entity/Q1128,radium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1898,156
http://www.wikidata.org/entity/Q941,yttrium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1787,142
http://www.wikidata.org/entity/Q1100,tellurium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1783,143
http://www.wikidata.org/entity/Q629,oxygen,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1771,224
http://www.wikidata.org/entity/Q629,oxygen,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1774,224
http://www.wikidata.org/entity/Q1098,uranium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1789,173
http://www.wikidata.org/entity/Q1386,praseodymium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1841,133
http://www.wikidata.org/entity/Q743,tungsten,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1783,149
http://www.wikidata.org/entity/Q1388,neodymium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1885,133
