entity,entityLabel,category,property,propertyLabel,value,sitelinks
http://www.wikidata.org/entity/Q150908,ST8:USA300,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,2917469,3
http://www.wikidata.org/entity/Q110312055,Leptomonas pyrrhocoris mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,31564,0
http://www.wikidata.org/entity/Q98842881,Leishmania braziliensis mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,17771,0
http://www.wikidata.org/entity/Q100374046,Leishmania infantum mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,17897,0
http://www.wikidata.org/entity/Q110312252,Trypanosoma copemani mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,16451,0
http://www.wikidata.org/entity/Q29565619,Ccl3,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,5433628,0
http://www.wikidata.org/entity/Q110312192,Trypanosoma vivax mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,19082,0
http://www.wikidata.org/entity/Q21102984,Mycobacterium bovis AF2122/97,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,4349904,1
http://www.wikidata.org/entity/Q100936433,Leishmania major mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,18998,0
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,29903,129
http://www.wikidata.org/entity/Q118640085,Pseudomonas fluorescens SBW25,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,6722400,0
http://www.wikidata.org/entity/Q110311755,Angomonas deanei mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,27296,0
http://www.wikidata.org/entity/Q110312169,Zelonia australiensis mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,19973,0
http://www.wikidata.org/entity/Q91561236,RaTG13,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,29855,9
