entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q651361,common octopus,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,1.5,year,47,,2024-11-10T19:59:20Z
http://www.wikidata.org/entity/Q1940098,Glyceridae,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,35,years old,14,,2024-11-12T06:28:12Z
http://www.wikidata.org/entity/Q132905,humpback whale,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,47.5,year,82,,2024-11-22T20:04:12Z
http://www.wikidata.org/entity/Q206070,Coconut crab,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,40,years old,55,,2024-10-25T11:03:30Z
http://www.wikidata.org/entity/Q206070,Coconut crab,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,60,years old,55,,2024-10-25T11:03:30Z
http://www.wikidata.org/entity/Q2177631,Sternaspis scutata,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,1,years old,10,,2024-10-25T06:28:14Z
http://www.wikidata.org/entity/Q121439,raccoon,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,20,year,103,,2024-11-09T11:21:59Z
http://www.wikidata.org/entity/Q941281,Nephtys hombergii,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,5,years old,7,,2024-06-22T20:13:20Z
http://www.wikidata.org/entity/Q2341152,Spio filicornis,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,1,years old,7,,2024-06-22T20:13:54Z
http://www.wikidata.org/entity/Q232523,Lesser Spotted Eagle,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,26,year,64,,2024-11-07T08:34:51Z
http://www.wikidata.org/entity/Q121439,raccoon,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,2.45,year,103,,2024-11-09T11:21:59Z
http://www.wikidata.org/entity/Q25357,Northern Raven,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,17.1667,year,133,,2024-11-20T11:52:07Z
http://www.wikidata.org/entity/Q179959,Kakapo,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,59,year,79,,2024-11-17T22:25:56Z
http://www.wikidata.org/entity/Q503813,mountain beaver,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,10,year,47,,2024-09-24T17:07:13Z
http://www.wikidata.org/entity/Q503813,mountain beaver,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,5,year,47,,2024-09-24T17:07:13Z
http://www.wikidata.org/entity/Q2242916,Urechis caupo,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,25,year,13,,2024-07-17T02:08:16Z
http://www.wikidata.org/entity/Q1885247,Ficopomatus enigmaticus,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,5,years old,11,,2024-06-22T20:13:53Z
http://www.wikidata.org/entity/Q81056,North American beaver,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,15,year,58,,2024-10-05T13:51:13Z
http://www.wikidata.org/entity/Q2196032,Naineris laevigata,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,35,years old,6,,2024-06-22T20:13:35Z
http://www.wikidata.org/entity/Q20980826,Felis catus,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,22,year,5,,2024-11-22T20:14:46Z
http://www.wikidata.org/entity/Q220328,Grey Parrot,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,22,year,64,,2024-11-06T18:15:07Z
http://www.wikidata.org/entity/Q220328,Grey Parrot,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,45,year,64,,2024-11-06T18:15:07Z
http://www.wikidata.org/entity/Q2323218,Chaetozone setosa,Biology,http://www.wikidata.org/prop/direct/P2250,http://www.wikidata.org/prop/direct/P2250,1,years old,7,,2024-06-22T20:13:17Z
