event,eventLabel,category,property,propertyLabel,value,sitelinks,dateCreated,dateModified,entityType
http://www.wikidata.org/entity/Q1373793,1915 Far Eastern Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,3,14,,2024-11-21T17:33:19Z,Sports Event
http://www.wikidata.org/entity/Q1757386,1982 Southern Cross Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,961,6,,2024-03-31T01:59:55Z,Sports Event
http://www.wikidata.org/entity/Q1370032,1973 Southeast Asian Peninsular Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,7,15,,2024-11-21T17:32:57Z,Sports Event
http://www.wikidata.org/entity/Q2670065,1919 Far Eastern Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,3,12,,2024-11-21T17:33:20Z,Sports Event
http://www.wikidata.org/entity/Q2465522,2013 Games of the Small States of Europe,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,762,9,,2024-03-31T02:04:04Z,Sports Event
http://www.wikidata.org/entity/Q1370092,2003 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,11,17,,2024-11-21T17:32:39Z,Sports Event
http://www.wikidata.org/entity/Q4192064,2019 Winter Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,3000,16,,2024-03-18T06:54:11Z,Sports Event
http://www.wikidata.org/entity/Q1370107,1985 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,8,15,,2024-11-21T17:32:54Z,Sports Event
http://www.wikidata.org/entity/Q1674214,2011 Island Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,25,13,,2024-03-31T01:59:36Z,Sports Event
http://www.wikidata.org/entity/Q3594231,2017 Summer Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,7639,22,,2024-08-24T13:27:58Z,Sports Event
http://www.wikidata.org/entity/Q12504102,1948 Pekan Olahraga Nasional,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,600,2,,2024-08-19T02:23:20Z,Sports Event
http://www.wikidata.org/entity/Q2756104,1995 Games of the Small States of Europe,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,684,9,,2024-03-31T02:05:41Z,Sports Event
http://www.wikidata.org/entity/Q11601383,53rd National Sports Conference,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,30322,1,,2024-07-14T19:32:28Z,Sports Event
http://www.wikidata.org/entity/Q1376314,1986 Asian Winter Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,293,24,,2024-11-21T17:28:02Z,Sports Event
http://www.wikidata.org/entity/Q10872143,13th National Games of the People's Republic of China,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,10217,2,,2024-08-12T02:21:41Z,Sports Event
http://www.wikidata.org/entity/Q1373807,1913 Far Eastern Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,6,14,,2024-11-21T17:33:16Z,Sports Event
http://www.wikidata.org/entity/Q3550424,2019 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,11,20,,2024-11-24T02:13:09Z,Sports Event
http://www.wikidata.org/entity/Q11600426,1947 National Sports Festival of Japan,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,7224,1,,2023-03-08T07:47:37Z,Sports Event
http://www.wikidata.org/entity/Q3304572,2005 Islamic Solidarity Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,55,14,,2024-03-31T02:10:48Z,Sports Event
http://www.wikidata.org/entity/Q4021365,2011 European Youth Olympic Winter Festival,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,933,6,,2024-05-04T08:01:08Z,Sports Event
