venue,venueLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q332219,Helsinki Olympic Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,42062,1,43,,2024-09-11T14:33:19Z
http://www.wikidata.org/entity/Q62552,Orlen Arena,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,5381,1,9,,2024-06-12T18:39:36Z
http://www.wikidata.org/entity/Q219462,Stade Océane,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,33000,1,23,,2024-06-26T12:35:05Z
http://www.wikidata.org/entity/Q201307,Independence Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,30000,1,10,,2023-05-30T07:56:42Z
http://www.wikidata.org/entity/Q93831,ARCO Arena,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,16517,1,20,,2023-11-06T13:48:01Z
http://www.wikidata.org/entity/Q497095,Tancheon Sports Complex,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,16250,1,10,,2023-05-27T17:28:57Z
http://www.wikidata.org/entity/Q336088,Estádio Nacional de Brasília,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,69910,1,51,,2024-09-12T19:10:15Z
http://www.wikidata.org/entity/Q493801,Changwon Football Center,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,15500,1,10,,2022-11-10T09:17:31Z
http://www.wikidata.org/entity/Q1132986,Stade de la Paix,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,25000,1,17,,2024-02-19T12:42:21Z
http://www.wikidata.org/entity/Q383557,Memorial Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,87091,1,7,,2024-09-02T14:25:29Z
http://www.wikidata.org/entity/Q367126,PalaDozza,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,5570,1,6,,2023-12-19T09:38:32Z
http://www.wikidata.org/entity/Q124769,Cuauhtémoc Stadiums,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,47417,1,20,,2023-12-31T06:41:38Z
http://www.wikidata.org/entity/Q385205,Arena Stožice,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,12500,1,20,,2024-11-17T22:41:44Z
http://www.wikidata.org/entity/Q1141343,Raymond James Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,65890,1,27,,2024-10-12T15:34:55Z
http://www.wikidata.org/entity/Q1139489,Northlands Coliseum,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,16839,1,23,,2024-02-01T06:59:28Z
http://www.wikidata.org/entity/Q155174,Maracanã Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,78838,1,84,,2024-09-29T14:59:16Z
http://www.wikidata.org/entity/Q424961,Hamad bin Khalifa Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,20000,1,18,,2024-04-30T11:43:27Z
http://www.wikidata.org/entity/Q168579,Joe Louis Arena,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,19275,1,25,,2024-08-19T12:26:18Z
http://www.wikidata.org/entity/Q219462,Stade Océane,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,25178,1,23,,2024-06-26T12:35:05Z
http://www.wikidata.org/entity/Q486192,ZOZO Marine Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,30000,1,13,,2024-11-18T12:29:37Z
http://www.wikidata.org/entity/Q371585,Caja Mágica,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,12442,1,20,,2024-11-15T16:36:11Z
http://www.wikidata.org/entity/Q189921,David Abashidze Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,4558,1,7,,2021-04-26T03:07:08Z
http://www.wikidata.org/entity/Q1325234,Estadi de Sarrià,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,43667,1,27,,2024-09-30T18:55:44Z
http://www.wikidata.org/entity/Q297924,Örjans Vall,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,15500,1,24,,2023-04-03T16:50:14Z
http://www.wikidata.org/entity/Q489704,Daejeon Hanbat Baseball Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,13000,1,8,,2023-10-29T16:09:58Z
http://www.wikidata.org/entity/Q1124949,Karen Demirchyan Complex,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,8008,1,21,,2024-08-19T13:50:07Z
http://www.wikidata.org/entity/Q136412,CSKA Ice Palace,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,5600,1,13,,2024-11-23T04:04:38Z
http://www.wikidata.org/entity/Q379306,Vivaldão,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,46000,1,9,,2024-04-25T11:13:22Z
http://www.wikidata.org/entity/Q402599,Bilbao Arena,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,10014,1,18,,2024-10-13T11:02:31Z
http://www.wikidata.org/entity/Q490616,Jamsil Baseball Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,30265,1,11,,2023-09-25T15:11:31Z
http://www.wikidata.org/entity/Q489909,Sajik Baseball Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,30543,1,8,,2023-10-29T16:03:22Z
http://www.wikidata.org/entity/Q82294,Delta Center,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,19911,1,27,,2024-08-25T20:45:22Z
http://www.wikidata.org/entity/Q1347442,Moda Center,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,19980,1,29,,2024-09-21T08:35:34Z
http://www.wikidata.org/entity/Q1121555,Guillermo Prospero Trinidad Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,5500,1,15,,2024-03-04T19:58:51Z
http://www.wikidata.org/entity/Q115970,Arena Garibaldi – Stadio Romeo Anconetani,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,25000,1,11,,2024-02-06T07:23:44Z
http://www.wikidata.org/entity/Q387213,Stade Raymond Kopa,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,18000,1,19,,2023-12-08T10:31:37Z
http://www.wikidata.org/entity/Q1323781,El-Kanemi Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,10000,1,7,,2024-11-23T23:08:12Z
http://www.wikidata.org/entity/Q123017,Carrow Road,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,27244,1,41,,2024-07-09T11:46:54Z
http://www.wikidata.org/entity/Q431552,Meneng Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,3500,1,9,,2023-05-30T18:40:19Z
http://www.wikidata.org/entity/Q199359,Camping World Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,65438,1,24,,2024-07-18T19:52:52Z
http://www.wikidata.org/entity/Q1305305,Håkons Hall,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,11500,1,14,,2024-06-08T09:27:31Z
