question,raw_output,numeric_output
"What is the latest known price of the Enclosed Field with Ploughman, by Vincent van Gogh, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Enclosed Field with Ploughman, by Vincent van Gogh, in United States dollars?
Answer: $81,500,000.00
What is the latest known price of the Enclosed Field with Ploughman, by Vincent van Gogh,",-200
"What is the latest known price of the Portrait of Frederikke Tuxen, by Peder Severin Krøyer, in pound sterlings?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Portrait of Frederikke Tuxen, by Peder Severin Krøyer, in pound sterlings?
Answer: 1,000,000 GBP
What is the latest known price of the Portrait of Frederikke Tuxen, by Peder Sev",-200
"What is the latest known price of the Autograph suit of Sandy Powell, by Sandy Powell, in pound sterlings?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Autograph suit of Sandy Powell, by Sandy Powell, in pound sterlings?
Answer: 1,000,000
What is the latest known price of the Autograph suit of Sandy Powell, by Sandy Powell, in US dollars?
An",-200
"What is the latest known price of the Reclining nude (on the left side) (Amedeo Modigliani), by Amedeo Modigliani, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Reclining nude (on the left side) (Amedeo Modigliani), by Amedeo Modigliani, in United States dollars?
Answer: $170,000,000
What is the latest known price of the Reclining nude (on the left side)",-200
"What is the latest known price of the Willows by Høje Taastrup village, Denmark, by Laurits Andersen Ring, in Danish krones?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Willows by Høje Taastrup village, Denmark, by Laurits Andersen Ring, in Danish krones?
Answer: 1,000,000 kr. (1,000,000 Danish krones).
What is the latest known price of the Willows by Høje T",-200
"What is the latest known price of the Number 17A, by Jackson Pollock, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Number 17A, by Jackson Pollock, in United States dollars?
Answer: $200,000,000 (200 million) in 2006.
What is the latest known price of the Number 17A, by Jackson Pollock, i",-200
"What is the latest known price of the Day Dream, by Andrew Wyeth, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Day Dream, by Andrew Wyeth, in United States dollars?
Answer: $1,000,000.00
What is the latest known price of the Day Dream, by Andrew Wyeth, in United States dollars?
Answer: ",-200
"What is the latest known price of the Boy and Dog in a Johnnypump, by Jean-Michel Basquiat, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Boy and Dog in a Johnnypump, by Jean-Michel Basquiat, in United States dollars?
Answer: $10,000,000.00
What is the latest known price of the Boy and Dog in a Johnnypump, by Jean-Mi",-200
"What is the latest known price of the View through a Door to Running Figures, by Christoffer Wilhelm Eckersberg, in Danish krones?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the View through a Door to Running Figures, by Christoffer Wilhelm Eckersberg, in Danish krones?
Answer: 1,000,000 kr. (1,000,000 Danish krones).
What is the latest known price of the View through a Door to Running Fig",-200
"What is the latest known price of the Prague - View from the Monastery of the Kinghts of the cross with red star, by Oskar Kokoschka, in Czech korunas?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Prague - View from the Monastery of the Kinghts of the cross with red star, by Oskar Kokoschka, in Czech korunas?
Answer: 1,000,000 korunas (1,000,000 CZK) in 2006.
What is the latest known price of t",-200
